Farma_010#0,"""委託達成，已經確認了！<br>辛苦了！"""
11_voice_shop_171#0,"""已經達成了。<br>辛苦了。"""
11_voice_shop_181#0,"""......委託，達成了哦！<br>......了不起。"""
Toria_020#0,"""......還好啦，下次也要努力。"""
11_voice_shop_191#0,"""咦～已經完成了？<br>厲害耶！"""
Bende_020#0,"""那麼，這是報酬。<br>下次再麻煩囉！"""
11_voice_shop_201#0,"""喔...真的有感覺到我的努力麼？"""
Anya_020#0,"""那麼給你報酬。<br>好，給你吧。<br>再見囉。"""
11_voice_shop_211#0,"""收到報告了。<br>辛苦了。"""
11_voice_shop_221#0,"""委託的完成報告<br>已確認過了！<br>真的辛苦你了！"""
Tessela_020#0,"""這是報酬！<br>請收下吧！"""
11_voice_shop_231#0,"""久等了。<br>順便也確認一下報告。"""
Zio_020#0,"""果然如傳聞，工作得很傑出呢。<br>有機會再拜託你。"""
11_voice_shop_241#0,"""喂，回來了啊。<br>那個那個，確認報告啊。"""
Kusui_020#0,"""OK，沒問題啦！<br>那麼，這是報酬。"""
11_voice_shop_341#0,"""真是出色的成果。"""
11_voice_shop_331#0,"""身手不凡吶！"""
11_voice_shop_351#0,"""欸...成果如此啊!"""
11_voice_shop_361#0,"""嘻...！"""
11_voice_shop_371#0,"""里！里！"""
