un_046030_0010#0,"""……我、我說啊，<%me>。<br>我們是不是應該先出去比較好啊？"""
un_046030_0020#0,"""不會不會，火継小姐與炎雅先生<br>可都是當事人，還請務必留步一下呢。"""
un_046030_0030#0,"""當事人……我們集合在這兒是為了什麼啊？"""
un_046030_0040#0,"""不是在上次聖母星團入侵騷動之後<br>對神諭這邊的警備和管制狀況做個確認嗎？"""
un_046030_0050#0,"""沒錯，就是這樣。<br>我們作為情報部，實在是無法對之前的情況熟視無睹。"""
un_046030_0060#0,"""因此，我並沒有派愛花和庫娜<br>而是親自過來了。"""
un_046030_0070#0,"""……也是為了確認一下<br>這之中有沒有存在著叛徒。"""
un_046030_0080#0,"""你指的是我們……？"""
un_046030_0090#0,"""若是不怕誤會，直截了當地說，就是如此。<br>確實存在著你們二人中的某位<br>又或者是兩人同時，洩露了情報的可能性。"""
un_046030_0100#0,"""……行吧，倒也沒錯。<br>ARKS沒理由親自洩露這些。<br>真要洩露，還是我們這些地球人更有可能。"""
un_046030_0110#0,"""哥，你怎麼也……！"""
un_046030_0120#0,"""絕、絕對沒這回事！<br>那次入侵純粹是聖母駭取了我們的情報才導致的！"""
un_046030_0130#0,"""這絕對、絕對！<br>不是火継小姐和炎雅先生的錯！<br>就連通訊的記錄這裡也全都有！請看嘛！"""
un_046030_0140#0,"""雪拉，身為管理者可不能這麼亢奮。<br>這通訊記錄，我們也已經確認過了。"""
un_046030_0150#0,"""不過，若用的是並非通訊手段的交流手段<br>也就是當面直接交談的話，倒也並不是沒有可能。"""
un_046030_0160#0,"""<%me>，您怎麼看？<br>一直陪伴著他們的您，有什麼看法？"""
un_046030_0170#0,"""……他們二位，是值得信賴之人嗎？"""
un_046030_0180#0,"""根本用不著回答"""
un_046030_0190#0,"""這再怎麼說也太失禮了"""
un_046030_0200#0,"""<%me>……"""
un_046030_0210#0,"""……是麼。<br>既然<%me>您都這麼說了<br>那看來我也沒什麼要講的了。"""
un_046030_0220#0,"""……哈哈，確實是有些。"""
un_046030_0230#0,"""抱歉，我多有失禮。<br>畢竟負責這種工作的人也只有我了<br>因此還請多擔待。"""
un_046030_0240#0,"""啊，等一等卡斯拉先生！<br>您要去哪！"""
un_046030_0250#0,"""我都確認過一遍了，也該回去了。<br>預想敵方勢力入侵時的對抗措施<br>你不是應該已經演算過了嘛，雪拉？"""
un_046030_0260#0,"""情報部也支持你的判斷。<br>那是不是就沒問題了？"""
un_046030_0270#0,"""火継小姐、炎雅先生。<br>我再次向剛才有失禮數的言辭道歉。"""
un_046030_0280#0,"""抱歉，我試探了一下兩位。<br>但這畢竟就是我的職責所在<br>因此還請二位別往心裡去。"""
un_046030_0290#0,"""那麼諸位，我們下次再會吧。"""
un_046030_0300#0,"""……真是的！<br>他怎麼總是那麼飄逸啊！<br>簡直是光看著就讓人煩躁！"""
un_046030_0310#0,"""試探了一下？他剛才做了什麼嗎？"""
un_046030_0320#0,"""……他在和我們說話的同時，也關注著我們的反應。<br>眼神也那麼認真，真是有夠可怕。"""
un_046030_0330#0,"""……他本人甚至在享受這種<br>目中無人的行為。<br>我覺得這才是最大的問題。"""
un_046030_0340#0,"""不過，他這工作本來也落不著什麼好處<br>要是不稍微找點樂子，那估計也確實幹不下去就是了……"""
un_046030_0350#0,"""可不論怎麼說，失禮就是失禮！<br>下次我得以管理者的身份<br>直接投訴一下情報部才行！"""
