IncidentName#0,"""防衛莉莉芭族的聚落！"""
TrialBeginMsg#0,"""保護莉莉芭族的聚落！"""
TrialAbstract#0,"""保護莉莉芭族的聚落！"""
NpcComOnBegin#0,"""區域內的莉莉芭族聚落好像受到了襲擊。<br>請緊急請求救援。"""
NpcComOnAfterBegin#0,"""聚落的位置座標是$(0)。"""
NpcComOnSuccess#0,"""總是能守住的。<br>辛苦了。"""
NpcComOnFailure#0,"""/face4 ......聚落已全部破壞。<br>沒辦法。<br>請回到一般任務。"""
NpcComOnArrive#0,"""那個地方有莉莉芭族的聚落。<br>請擊退周圍的敵人。"""
NpcComOnBroken1#0,"""確認破壞聚落。<br>還剩下兩個，可以想辦法防衛的。"""
NpcComOnBroken2#0,"""確認聚落已破壞......<br>還剩下一個，就算只有一個也要......"""
NpcComOnTimeLimit1#0,"""敵人的勢力似乎降低了。<br>請繼續擊退他們吧。"""
NpcComOnTimeLimit2#0,"""敵人依然陸續出現。<br>到最後都要拼命的對付他們。"""
NpcComOnBegin#1,"""附近的莉莉芭族聚落好像受到了襲擊。各位請前往救援。"""
NpcComOnAfterBegin#1,"""座標是$(0)。<br>跟著標記的顯示緊急趕過去吧。"""
NpcComOnSuccess#1,"""很好，結束防衛聚落了。<br>做的很棒。"""
NpcComOnFailure#1,"""確認的聚落都全部被破壞了。<br>......就算不甘心也沒辦法。<br>回到一般任務去吧。"""
NpcComOnArrive#1,"""很好，終於來到聚落了。<br>擊退周圍的敵人吧。"""
NpcComOnBroken1#1,"""嘖......一個聚落被破壞了麼。<br>還剩下兩個，要緊急支援。"""
NpcComOnBroken2#1,"""還剩下一個聚落。<br>怎麼樣都要拼命守護。"""
NpcComOnTimeLimit1#1,"""很好，敵人的勢力似乎變弱了。"""
NpcComOnTimeLimit2#1,"""敵人戰力降低。<br>就這樣繼續擊退他們吧。"""
NpcComOnBegin#2,"""區域內的莉莉芭族聚落<br>遭到襲擊了！<br>請趕緊前去救援！"""
NpcComOnAfterBegin#2,"""聚落的位置......是$(0)！<br>也已經有做了標記！"""
NpcComOnSuccess#2,"""/face2 看來總算是守住聚落了！<br>太好了......<br>辛苦了！"""
NpcComOnFailure#2,"""/face6 ......村落全毀了。沒辦法了。<br>請回到一般任務吧。"""
NpcComOnArrive#2,"""那裡就是莉莉芭族的村落！<br>請打倒周圍的所有敵人<br>拯救莉莉芭族！"""
NpcComOnBroken1#2,"""/face4 莉莉芭族的一個住處<br>遭到摧毀了！<br>請保護好另外2所住處！"""
NpcComOnBroken2#2,"""/face4 莉莉芭族的住處只剩下1個了！<br>請一定要保護好！"""
NpcComOnTimeLimit1#2,"""/face2 敵方戰力降低！<br>請繼續驅逐敵人！"""
NpcComOnTimeLimit2#2,"""/face2 太厲害了! 敵方戰力幾乎完全潰散！<br>只剩下一點、就剩一點了唷!"""
