text01#0,"""辛苦了，因此次調查<br>一連串的ARKS實態調查<br>就暫且結束了。"""
text02#0,"""託你的福，我也能昂首闊步地<br>有臉見本國了。"""
text03#0,"""哎呀，有疑問要問的臉呢？<br>這是當然啦，<br>你又沒有打算勉強隱藏起來。"""
text04#0,"""好吧，作為你多方協助的<br>回禮，就僅只回答<br>你一個問題吧。"""
text05#0,"""那你到底<br>想要問什麼呢？"""
select01#0,"""‧什麼都不問"""
select02#0,"""‧愛麗絲是誰？"""
select03#0,"""‧調查的委託人是誰？"""
text06#0,"""哎呀，是麼？<br>反正就算知道了<br>對你也沒有好處呢。"""
text07#0,"""那，這話題就到這邊。"""
11_voice_NPC_5125_100#0,"""或許還有什麼事情<br>要拜託你的，<br>到時就拜託你了。"""
text09#0,"""或許你察覺到了也說不定，<br>我不是真正的ARKS。"""
text10#0,"""怎麼說，我也不是神諭的住民。<br>我是從還沒發現神諭的<br>行星過來的。"""
text11#0,"""反正簡單來說的話，<br>可以說是潛入工作員之類的。"""
text12#0,"""除了我以外，還有幾個同夥也持<br>同樣目的，偽造認證碼潛入唷。<br>我們也只能在這方面得意呢。"""
text13#0,"""現在應該在莉莉芭行星和沃帕爾行星<br>活動著。我接下來也打算以<br>納貝流士為中心進行活動。"""
11_voice_NPC_5125_105#0,"""啊啊，沒關係沒關係。<br>不用這麼警戒也可以，因為應該已經<br>被神諭的管理者發覺到了。"""
text15#0,"""這樣放任不管就表示沒有太大影響，<br>他們是這麼想的唷，一定。"""
text16#0,"""嗯，事實上就是這樣沒錯，<br>可那樣還真不甘心呢。"""
text17#0,"""在這廣袤宇宙之中，還存在著<br>許多如點點星辰般地，連ARKS都不知道的<br>未知行星及文明。"""
text18#0,"""存在於那些星球之一的偌大<br>國家的政府機關就是我的委託人唷。"""
text19#0,"""那個國家叫做……這樣吧，<br>就假設叫它作「歐拉基爾王國」吧。"""
text20#0,"""那個歐拉基爾王國在外太空的調查中，<br>偶然得知了這個巨大宇宙船團<br>神諭的存在唷。"""
text21#0,"""接下來就簡單了，為了機密地調查<br>那個未知船團的目的和科技，<br>才雇用我們的。"""
text22#0,"""順帶一提，現在神諭船團的行進<br>和歐拉基爾王國的行星是完全<br>相反的方向。"""
11_voice_NPC_5125_104#0,"""如果王國那邊不出手的話，<br>那接觸的可能性就幾乎為零。<br>應該數百年都沒有吧。"""
text24#0,"""只要ARKS意識上沒對那<br>展開調查網的話呢。"""
text25#0,"""所以我們在做的事就是確保萬一<br>的調查之類的東西。<br>保險唷，保險。"""
text26#0,"""信或不信，由你決定。<br>不過這種荒唐話就算你去跟誰說，<br>誰也不會信你的吧。"""
text27#0,"""話就說到這邊。<br>如果還有事的話，就多指教。"""
