name01#0,"""艾塔妮"""
text01#0,"""那麼接下來是關於種族的問題。"""
text02#0,"""您的知識相當正確。<br>期待您今後作為一位ARKS人員<br>繼續活躍表現。"""
text03#0,"""您關於各種族的知識相當正確。<br>那麼，這是答對所有問題的獎勵。"""
text04#0,"""從艾塔妮手中收下了「研磨石」。"""
text05#0,"""有興趣時，也請挑戰看看其他問題。<br>"""
text06#0,"""您的各種族相關知識還需加強。<br>我準備了答對所有問題的獎勵<br>請再多來挑戰幾次。"""
text07#0,"""您的各種族相關知識還需加強喔。<br>以前您曾經答對過所有問題，<br>要不要再複習一遍呢？"""
text00#0,"""第一題。"""
text07#1,"""雖然沒有特別突出的能力<br>但各項能力平均，對任何狀況都具有<br>高度適應力的種族是哪一個？"""
text01#1,"""魔人"""
text02#1,"""人類"""
text03#1,"""新人類"""
text04#1,"""答錯了。"""
text08#0,"""各項能力平均，遇到任何狀況都<br>能夠適應的種族是「人類」。<br>這是一切種族的基礎。"""
text05#1,"""正確答案。<br>各項能力平均的種族。<br>這種種族稱為「人類」。"""
text09#0,"""以高度適應力為特徵的人類<br>可以說是最適合ARKS的使命，<br>也就是行星調查的種族。"""
text06#1,"""答錯了。"""
text10#0,"""各項能力平均，遇到任何狀況都<br>能夠適應的種族是「人類」。<br>這是一切種族的基礎。"""
text00#1,"""第二題。"""
text07#2,"""即使身體能力脆弱，但擅長運用光子，<br>尤其是法術的威力<br>更是箇中翹楚，請問這是哪一個種族？"""
text01#2,"""機器人"""
text02#2,"""魔人"""
text03#2,"""新人類"""
text04#2,"""答錯了。"""
text08#1,"""擁有無人能及的<br>高度光子適應力的種族。<br>這種種族稱為「新人類」。"""
text05#2,"""答錯了。"""
text09#1,"""擁有無人能及的<br>高度光子適應力的種族。<br>這種種族稱為「新人類」。"""
text06#2,"""正確答案。<br>擅長行使法術的種族。<br>這種種族稱為「新人類」。"""
text10#1,"""新人類以人類為基礎<br>將對光子的感應力提升至極限，<br>是特化型的種族。"""
text00#2,"""第三題。"""
text07#3,"""雖然不擅長運用光子<br>但擁有以機械構成的強悍肉體<br>請問這是哪一個種族？"""
text01#3,"""機器人"""
text02#3,"""新人類"""
text03#3,"""魔人"""
text04#3,"""正確答案。<br>擁有機械身體的種族。<br>這種種族稱為機器人。"""
text08#2,"""將活體部分變更為機械，藉此<br>擁有能夠承受嚴苛狀況的身體<br>是著重於戰鬥行為的種族。"""
text05#3,"""答錯了。"""
text09#2,"""擁有以機械構成的強悍身體的種族。<br>這種種族稱為「機器人」。"""
text06#3,"""答錯了。"""
text10#2,"""擁有以機械構成的強悍身體的種族。<br>這種種族稱為「機器人」。"""
text00#3,"""最後一題。"""
text07#4,"""即使防禦方面不比其他種族<br>但擁有攻擊特化的光子特性<br>以高度攻擊力為傲的種族是哪一個？"""
text01#4,"""人類"""
text02#4,"""機器人"""
text03#4,"""魔人"""
text04#4,"""答錯了。"""
text08#3,"""擁有攻擊特化的光子特性<br>以強襲或一擊必殺為目的的種族。<br>這種種族稱為「魔人」。"""
text05#4,"""答錯了。"""
text09#3,"""擁有攻擊特化的光子特性<br>以強襲或一擊必殺為目的的種族。<br>這種種族稱為「魔人」。"""
text06#4,"""正確答案。<br>以殲滅敵人為第一優先<br>攻擊特化的種族「魔人」。"""
text10#3,"""這種種族講究以強襲讓敵人一招斃命<br>以左右不同的瞳孔顏色與<br>額頭的角為特徵。"""
