11_voice_NPC_5010_104#0,"""哈......我也想要早一點成為像老師那樣偉大的研究者。"""
11_voice_NPC_5010_100#0,"""老師是ARKS也是研究者，簡直就是才色兼備的理想人才。<br>......雖然性格上是有點問題啦。"""
11_voice_NPC_5010_100#1,"""為什麼想跟隨老師麼?<br>當然是因為那是我的憧憬啊。"""
Right_03_020#0,"""我為了有一天能變成跟老師一樣，<br>所以才一直跟老師在一起。<br>......除了性格以外。"""
11_voice_NPC_5010_101#0,"""老師至今為止是經歷了好幾次的困難過來的，也遭遇了好幾次差點喪命的狀況。"""
Right_04_020#0,"""但是因為有了你的幫助，<br>才能安穩度過每一天。<br>真的很感謝您！"""
11_voice_NPC_5010_104#1,"""老師的研究內容麼?<br>因為各方面都有難以說明，<br>總而言之就是生物的研究啦。"""
Right_05_020#0,"""我的醫學造詣也很深喔。<br>我甚至感覺這像是一種執著。<br>唉......真是厲害呀。"""
11_voice_NPC_5010_100#2,"""<%me>。<br>非常謝謝你，<br>從背後推了我一把。"""
Right_06_020#0,"""我只是想要待在老師身邊，<br>這樣就心滿意足了。"""
Right_06_030#0,"""還說自己是衝衝衝老師的助手，真讓人難為情唷。<br>一但下定決心就去行動，這樣就好了啊。"""
11_voice_NPC_5010_105#0,"""ダークファルス復活しちゃうし<br>これからどうなっちゃうんでしょう……"""
11_voice_NPC_5010_105#1,"""黑暗法爾斯會復活<br>會出現奇怪的東西<br>到底會變成怎樣呢......"""
11_voice_NPC_5010_104#2,"""現在是該舉辦戰技大會的時機麼？<br>黑暗法爾斯已經復活了。<br>現在不是悠閒辦活動的時候......"""
Right_mb11_020#0,"""......哎呀，我會驚慌失措<br>也是理所當然的啊。"""
11_voice_NPC_5010_104#3,"""......唉。<br>什麼都沒有。<br>什麼都沒有喔。"""
11_voice_NPC_5010_104#4,"""你在做什麼啊......?<br>嗯，那個......"""
Right_mb13_020#0,"""......真的就像您說的一樣。<br>我是在做什麼啊。"""
