11_voice_NPC_5063_100#0,"""教授、教授～!<br>你來得正好。"""
favs_before_020#0,"""教授，請別多問收下這個吧!"""
favs_after_010#0,"""平常總是受您照顧，<br>這只是一點微不足道的心意!"""
favs_after_020#0,"""對教授不論說什麼感謝的話都是不夠的<br>因此覺得至少要用什麼樣子的形式來展現謝意!"""
favs_after_030#0,"""那麼，教授!<br>今後也要麻煩您了。"""
favs_present_010#0,"""從魯貝爾特那邊領到了『合成器』。"""
favs_present_020#0,"""從魯貝爾特那邊領到了『追蹤射擊』。"""
favs_present_030#0,"""從魯貝爾特那邊領到了『滑衝四連射』。"""
favs_present_040#0,"""從魯貝爾特那邊領到了『合成器』。"""
favs_present_050#0,"""從魯貝爾特那邊領到了『單點射擊』。"""
favs_present_060#0,"""從魯貝爾特那邊領到了『霰彈射擊』。"""
favs_present_070#0,"""從魯貝爾特那邊領到了『合成器』。"""
favs_present_080#0,"""從魯貝爾特那邊領到了『匍匐射擊』。"""
favs_present_090#0,"""從魯貝爾特那邊領到了『光輪之雨』。"""
favs_present_100#0,"""從魯貝爾特那邊領到了『平行滑射』。"""
favs_present_add_001#0,"""ルベルトから『<%skit_text>』を受け取りました。"""
11_voice_NPC_5063_100#1,"""你好！<br>為了成為優秀的 ARKS，<br>唯有持續精進一途！"""
11_voice_NPC_5063_100#2,"""你好！<br>為了成為優秀的 ARKS，<br>唯有持續精進一途！"""
11_voice_NPC_5063_100#3,"""你好！<br>為了成為優秀的 ARKS，<br>唯有持續精進一途！"""
11_voice_NPC_5063_100#4,"""你好！<br>為了成為優秀的 ARKS，<br>唯有持續精進一途！"""
11_voice_NPC_5063_100#5,"""你好！<br>為了成為優秀的 ARKS，<br>唯有持續精進一途！"""
11_voice_NPC_5063_100#6,"""你好！<br>為了成為優秀的 ARKS，<br>唯有持續精進一途！"""
11_voice_NPC_5063_100#7,"""你好！<br>為了成為優秀的 ARKS，<br>唯有持續精進一途！"""
11_voice_NPC_5063_100#8,"""這裡好多前輩，<br>好刺激啊。"""
Npc63_08_020#0,"""我越來越想<br>成為ARKS了！<br>嗚喔喔喔，我要努力！"""
11_voice_NPC_5063_100#9,"""這裡好多前輩，<br>好刺激啊。"""
Npc63_mb9_020#0,"""我越來越想<br>成為ARKS了！<br>嗚喔喔喔，我要努力！"""
11_voice_NPC_5063_100#10,"""這裡好多前輩，<br>好刺激啊。"""
Npc63_mb10_020#0,"""我越來越想<br>成為ARKS了！<br>嗚喔喔喔，我要努力！"""
11_voice_NPC_5063_100#11,"""這裡好多前輩，<br>好刺激啊。"""
Npc63_mb11_020#0,"""我越來越想<br>成為ARKS了！<br>嗚喔喔喔，我要努力！"""
11_voice_NPC_5063_100#12,"""這裡好多前輩，<br>好刺激啊。"""
Npc63_mb12_020#0,"""我越來越想<br>成為ARKS了！<br>嗚喔喔喔，我要努力！"""
11_voice_NPC_5063_100#13,"""這裡好多前輩，<br>好刺激啊。"""
Npc63_mb13_020#0,"""我越來越想<br>成為ARKS了！<br>嗚喔喔喔，我要努力！"""
11_voice_NPC_5063_100#14,"""這裡好多前輩，<br>好刺激啊。"""
Npc63_mb16_020#0,"""我自己必須要<br>更加更加地向上努力才行。<br>嗚喔喔喔，充滿幹勁！"""
11_voice_NPC_5063_100#15,"""這裡好多前輩，<br>好刺激啊。"""
Npc63_mb14_020#0,"""我越來越想<br>成為ARKS了！<br>嗚喔喔喔，我要努力！"""
11_voice_NPC_5063_106#0,"""你好！老師！<br>令人難以置信的事接連不斷，<br>我自己已完全混亂了！"""
Npc63_mb16zeno_020#0,"""但是，我會一直繼續<br>相信老師是對的並跟隨老師的！<br>你好！"""
11_voice_NPC_5063_100#16,"""押忍！\u3000先生！<br>自分、ようやく混乱から<br>立ち直りました！"""
Npc63_mb18_020#0,"""色々と変わっていってますが<br>絶対にアークスになろうと<br>自分、決意しています！"""
Npc63_mb21_010#0,"""押忍！\u3000先生！<br>最近、先生の活躍を<br>聞かない日はありません！"""
Npc63_mb21_020#0,"""自分、それを聞く度に<br>ますます先生への尊敬の念が<br>強くなっていきます！\u3000押忍！"""
Npc63_mb21_030#0,"""どんな事が起きても<br>自分、先生に一生ついていきます！<br>押忍！"""
11_voice_NPC_5063_101#0,"""押忍！\u3000先生！<br>ここ最近、ますます先生が<br>活躍していることを聞いてます！"""
Npc63_mb23_020#0,"""自分、先生のようにかけがえの無い<br>アークスになるべく、努力を<br>一層重ねる日々です！"""
Npc63_mb23_030#0,"""自分、絶対にアークスになります！<br>押忍！"""
Npc63_mb23_after_010#0,"""押忍！\u3000先生！<br>ご無事でなによりでした！"""
Npc63_mb23_after_020#0,"""自分、色んなことが起きて<br>混乱しておりますが、先生に一生<br>付いていく気持ちは消えません！"""
Npc63_mb23_after_030#0,"""これから先も、ついていきます！<br>押忍！"""
Npc63_mb24_after_010#0,"""押忍！\u3000先生！<br>自分、感動に打ち震えております！"""
Npc63_mb24_after_020#0,"""一丸となったアークスや先生を見て<br>自分、ますますアークスになりたいと<br>思うようになりました！"""
11_voice_NPC_5063_100#17,"""自分、必ずや先生のように<br>立派なアークスとなってみせます！"""
ep01_03_010#0,"""押忍！<br>新人アークスのルベルトです！"""
ep01_03_020#0,"""いつ如何なる時も<br>新人としての気持ちを忘れず<br>努力していく所存です！"""
ep01_03_030#0,"""様々なご迷惑をおかけするかもですが<br>よろしくお願いします！\u3000押忍！"""
st01_010#0,"""せ、先生ッ！！<br>復帰されたのですね！<br>いつからです？\u3000今からです！？"""
st01_020#0,"""うう……自分、感無量です！<br>こうして先生と肩を並べることが<br>再びできるなんて……"""
11_voice_NPC_5063_100#18,"""先生！\u3000自分も一人前のアークスに<br>なれました！\u3000先生のような立派な<br>アークス目指して、頑張ります！"""
11_voice_NPC_5063_100#19,"""押忍！\u3000先生！<br>新人として学ぶことはたくさんですが<br>特に東京エリアは、刺激的です！"""
st01_020#1,"""多種多様なエネミーや<br>変わった町並みなど<br>学ぶことが多くあります！"""
st01_030#0,"""自分、立派なアークスになるべく<br>日々精進あるのみです。<br>押忍！"""
11_voice_NPC_5063_100#20,"""押忍！\u3000先生！<br>アークスシップ直接襲撃の鎮圧<br>本当にお疲れさまでした！"""
st01_020#2,"""リミッターがかかっていたとはいえ<br>自分、全く役に立てず……<br>不甲斐なくて、情けないです！"""
st01_030#1,"""もっと精進して、たとえリミッターが<br>あったとしても力になれるよう<br>精進あるのみです！\u3000押忍！"""
st01_010#1,"""押忍！\u3000先生！<br>幻創種ダーカーの話、聞きました！<br>大変な相手だと思います！"""
