un_025080_0010#0,"""哎呀、<%me><br>我可以待在這個地方嗎？"""
un_025080_0020#0,"""最近、和夏歐兩個人<br>在做什麼吧？<br>對我也保密。"""
un_025080_0030#0,"""不過，對我來說<br>能充分享受自由時間<br>也算是幫了大忙。"""
un_025080_0040#0,"""如果和夏歐那裡有了傳言的話……<br>啊！？這不是傻瓜嗎！<br>是啊、誰會嫉妒……！"""
un_025080_0050#0,"""哎，沒什麼！<br>什麼都沒有啊！"""
un_025080_0060#0,"""說到這種地步<br>也沒什麼的話<br>是不是缺乏說服力呢？"""
un_025080_0070#0,"""好，就這樣<br>即使<%me><br>也應該能看到我的身影。"""
un_025080_0080#0,"""那麼莎拉、这是你的借口？"""
un_025080_0090#0,"""……這種煩人的傢伙<br>總是跟在我後面轉來轉去？<br>你也明白我的心情吧？"""
un_025080_0100#0,"""真是個煩人的話啊。<br>我和你不是一心同体的嗎。"""
un_025080_0110#0,"""喂。頂多就是二心同体。"""
un_025080_0120#0,"""１．一心同体？"""
un_025080_0130#0,"""２．關係很好啊"""
un_025080_0140#0,"""啊，那個……<br>嗯，如果是你的話，可以嗎。"""
un_025080_0150#0,"""哪裏的話。<br>感覺像抽中了下下籤。"""
un_025080_0160#0,"""……我小時候有一次<br>差點就死了<br>那個時候，有點。"""
un_025080_0170#0,"""差點死了、這種溫和的說法。<br>不知道為什麼還活著<br>空空如也、破破爛爛的不是嗎。"""
un_025080_0180#0,"""爲了幫助你、我的一部分<br>成爲了你的食糧……！"""
un_025080_0190#0,"""嗯，好像故意的！<br>「我正好想找個打雜的」<br>這種話、我可沒忘記啊！"""
un_025080_0200#0,"""啊，還有這樣那樣的。<br>莎拉的身體裏有我<br>你這麼想就沒錯了。"""
un_025080_0210#0,"""所以，即使這孩子偶爾自言自語<br>也要用溫暖的目光守護她。"""
un_025080_0220#0,"""……真是的！"""
un_025080_0230#0,"""你也看到了。<br>感覺通信線路一直開着。<br>真的，只是很麻煩而已。"""
un_025080_0240#0,"""……不過，我還是很感謝<br>你幫了我。"""
un_025080_0250#0,"""糟了！ 剛才被問到了！<br>啊已經被夏歐吵死了！"""
