ar_ca0100#0,"""初級教學『ARKS之路』"""
ar_ca0101#0,"""初級教學『戰鬥基本操作』"""
ar_ca0102#0,"""初級授業『森林エリア』"""
ar_ca0103#0,"""中級教學『ARKS基本功能』"""
ar_ca0104#0,"""中級教學『ARKS戰艦』"""
ar_ca0113#0,"""中級教學『手工製作』"""
ar_ca0105#0,"""中級授業『マグ・武器パレット』"""
ar_ca0106#0,"""中級教學『武器強化』"""
ar_ca0107#0,"""中級教學『支援夥伴』"""
ar_ca0108#0,"""中級教學『追加職業』"""
ar_ca0109#0,"""高級教學『等級・難易度解放』"""
ar_ca0110#0,"""高級教學『限時任務』"""
ar_ca0111#0,"""高級教學『進階任務』"""
ar_ca0112#0,"""高級教學『極限任務』"""
ar_ca0180#0,"""課外教學『萬象盤①』"""
ar_ca0181#0,"""課外教學『萬象盤②』"""
ar_ca0182#0,"""課外教學『萬象盤③』"""
ar_ca0114#0,"""初級授業『施錠クエスト』"""
ar_ca0115#0,"""初級授業『ストーリーボード』"""
ar_ca0116#0,"""初級授業『メインクエスト【EP5】』"""
