un_012200_0010#0,"""啊－－，有夠煩的啦！"""
un_012200_0020#0,"""......人家這麼大聲要不要緊？<br>沒關係的啦，除了你之外<br>沒別人發現，也搞不清楚呢。"""
un_012200_0030#0,"""不管那個了，唉呀，真是的！<br>心裡面好煩吶！　真的！"""
un_012200_0040#0,"""具體情況不能說出去<br>反而讓我更煩！"""
un_012200_0050#0,"""你啊，如果壓力累積的話，<br>你會怎麼做？<br>怎麼樣抒壓？"""
un_012200_0060#0,"""專心於任務"""
un_012200_0070#0,"""一頭栽進興趣裡"""
un_012200_0080#0,"""哇啊......簡直是充滿了<br>ARKS的精神耶。"""
un_012200_0090#0,"""只有戰鬥，<br>不得很乏味麼？<br>要是你喜歡，那就還好。"""
un_012200_0100#0,"""興趣！　不錯不錯，這個好！<br>做自己喜歡的事情，對吧！"""
un_012200_0110#0,"""能夠做自己最愛的事情<br>果然是最棒的！"""
un_012200_0120#0,"""我？　人家啊，<br>這種時候就會唱歌！<br>只要還有聲音就會唱！"""
un_012200_0130#0,"""......不不不，人家可不會<br>在這個地方開唱喲？<br>這點常識人家還是有的啦！"""
un_012200_0140#0,"""嗯，不過，這樣也許很有趣呢？<br>像是無預警臨時演唱會之類的<br>那就來試試看吧。"""
un_012200_0150#0,"""A.P.238/4/4"""
