NAME#0,"""比雅"""
NICKNAME#0,"""技能櫃台工作人員"""
HELLO#0,"""這裡可為你處理職業相關<br>問題"""
HELLO_FAV4#0,"""這裡可為你處理職業相關<br>問題"""
HELLO_FAV3#0,"""這裡可為你處理職業相關<br>問題"""
HELLO_FAV2#0,"""這裡可為你處理職業相關<br>問題"""
HELLO_FAV1#0,"""這裡可為你處理職業相關<br>問題"""
HELLO_FAV0#0,"""這裡可為你處理職業相關<br>問題"""
Q0#0,"""這裡可為你處理職業相關<br>問題"""
GOODBYE#0,"""請隨時再度光臨"""
GOODBYE_FAV4#0,"""請隨時再度光臨"""
GOODBYE_FAV3#0,"""請隨時再度光臨"""
GOODBYE_FAV2#0,"""請隨時再度光臨"""
GOODBYE_FAV1#0,"""請隨時再度光臨"""
GOODBYE_FAV0#0,"""請隨時再度光臨"""
00_01#0,"""選項1"""
00_02#0,"""選項2"""
TALK_ST#0,"""對話"""
C_ORDER_ST#0,"""商量"""
