st_062090_0001#0,"""A.P.242/2/26/16:20"""
st_062090_0010#0,"""這是……！"""
st_062090_0020#0,"""你做到了、莎拉！"""
st_062090_0030#0,"""是周圍的次元転移反応。<br>克拉莉絲克蕾絲、爆破。"""
st_062090_0040#0,"""……嘿！　明白了！"""
st_062090_0050#0,"""準確地把握著這裡的位置……？<br>就算能捕捉到……？"""
st_062090_0060#0,"""兩個錫安模倣体的力量合在一起<br>好不容易、不過。<br>立刻適應了、感謝你、卡密茲。"""
st_062090_0070#0,"""〔不必道謝〕<br>〔因為這關係到未來〕"""
st_062090_0080#0,"""夏歐君！"""
st_062090_0090#0,"""讓大家久等了。<br>很好地堅持到了現在。"""
st_062090_0100#0,"""莎拉！？"""
st_062090_0110#0,"""不用擔心。<br>她只是在睡覺。"""
st_062090_0120#0,"""正因爲有她的努力<br>所以我現在才這樣存在於此。"""
st_062090_0130#0,"""不回報這個努力的話<br>……我還是個男人麼。"""
st_062090_0140#0,"""消失了！？"""
st_062090_0150#0,"""……周圍沒有反應。<br>看現狀、好像撤退了。"""
st_062090_0160#0,"""夏歐君……<br>你回來了啊。"""
st_062090_0170#0,"""雖然感覺被敲醒了。<br>哎、多虧了你才趕上了<br>必須要感謝莎拉。"""
st_062090_0180#0,"""剛才聽到了巨大的爆炸聲<br>作為容器的存在沒事嗎？"""
st_062090_0190#0,"""卡西納的中樞被破壞了。<br>但是、對龍來說重要的<br>並不是容器的形狀。是吧？"""
st_062090_0200#0,"""〔是的〕〔重要的是、它的靈魂〕<br>〔能够寄宿的容器〕〔到處都有〕"""
st_062090_0210#0,"""〔夏歐〕〔束起破碎的龍晶〕<br>〔作為其身〕"""
st_062090_0220#0,"""嗯、通俗地說就是<br>漂浮在這裏的粒子、就是我。<br>將其束成一束形狀。"""
st_062090_0230#0,"""正因爲通過龍晶<br>和卡密茲的鏈接也順利進行了。<br>這樣就彌補了情報演算能力的差距。"""
st_062090_0240#0,"""這樣的話、接下來<br>要做的事情就已經決定了。"""
st_062090_0250#0,"""反撃開始"""
