st_063070_0050#0,"""怎麼會 ……！<br>……啊！"""
st_063070_0060#0,"""不能原諒……！<br>踐踏哈魯古丹星球……！"""
st_063070_0070#0,"""哎呀、來得真是悠閒啊。"""
st_063070_0080#0,"""……示巴！？<br> 為什麼要來哈魯古丹星球！"""
st_063070_0090#0,"""我對捉迷藏也差不多厭倦了<br>所以想直接去捉鬼。"""
st_063070_0100#0,"""我以為你們遲早也會出現的<br>但是來晚了。"""
st_063070_0110#0,"""白之民……"""
st_063070_0120#0,"""少名比売……"""
st_063070_0130#0,"""總之、看到的灰塵<br>應該已經打掃乾淨了吧？"""
st_063070_0140#0,"""就像這樣。"""
st_063070_0150#0,"""不可原諒……！"""
st_063070_0160#0,"""呵呵呵、不平靜呢。"""
st_063070_0170#0,"""到處亂動的灰塵很麻煩<br>差不多該打掃了吧。"""
st_063070_0180#0,"""<%me>桑！　瑪托依桑！<br>敵方戰力正在集結！<br>請趕快撤退！"""
st_063070_0190#0,"""不會讓你逃跑的？"""
st_063070_0200#0,"""啊……！"""
st_063070_0210#0,"""咦？"""
st_063070_0220#0,"""少名比売！？"""
st_063070_0230#0,"""……"""
st_063070_0240#0,"""那種感覺、是這個星球的守護者。<br>雖然不知道到現在爲止藏在哪裏<br>下一個對手是你嗎？"""
st_063070_0250#0,"""呼！"""
st_063070_0260#0,"""唔？"""
st_063070_0270#0,"""……不錯啊。<br>居然馬上就逃跑了。"""
st_063070_0280#0,"""不檢點的話<br>可能會被瓦爾納罵哦。"""
skit01#0,"""A Way to Seal The Demise"""
skit02#0,"""黒白之地的侵犯者"""
