IncidentName#0,"""死守激發結晶！"""
TrialBeginMsg#0,"""在一定時間內保護激發結晶。<br>只要2個遭到破壞即告失敗。"""
TrialAbstract#0,"""在一定時間內保護激發結晶！"""
ToastOnSuccess#0,"""激發結晶的效果提升了PSE的發生率！"""
ToastOnPinch#0,"""$(0)的激發結晶的力量正在衰減！"""
NpcComOnBegin#0,"""所有人員請保護激發結晶！<br>結晶周圍沒有ARKS人員的時候<br>力量就會衰減，請注意！"""
NpcComOnSuccess#0,"""/face2 防衛成功！<br>光子活性化，PSE<br>似乎變得更容易發生了！"""
NpcComOnFailure#0,"""/face4 規定數量以上的激發結晶<br>遭到破壞了......<br>請回到平時任務。"""
NpcComOnDestroy#0,"""$(0)的<br>激發結晶遭到破壞了！<br>請保護其他的結晶！"""
NpcComOnLast#0,"""激發結晶所剩不多了！<br>請盡力保護結晶！"""
NpcComOnAddPse#0,"""似乎出現了新的激發結晶！<br>請前去保護！<br>保護的數量多，才能期待狀況好轉！"""
NpcComOnBegin#1,"""所有人員必須盡力保護激發結晶。<br>結晶附近一旦沒有ARKS人員<br>力量似乎就會衰減。小心呀。"""
NpcComOnSuccess#1,"""很好，成功了。<br>確認光子活性化，PSE的<br>發生機率產生突破性上升。"""
NpcComOnFailure#1,"""遭到破壞的激發結晶<br>超過規定數量了麼......<br>防衛任務就到此為止，回到平時任務吧。"""
NpcComOnDestroy#1,"""$(0)的激發結晶<br>似乎遭到破壞了。<br>把其他的保護好，別被破壞了。"""
NpcComOnLast#1,"""激發結晶所剩不多了。<br>能守住的就盡量守住。"""
NpcComOnAddPse#1,"""是新的激發結晶麼......<br>可以的話，都一起保護。<br>剩下越多，狀況才有可能好轉。"""
NpcComOnBegin#2,"""啊，是激發結晶耶！<br>結晶如果附近沒有人，會一點一滴地<br>失去力量，然後壞掉喔！"""
NpcComOnSuccess#2,"""/face2 好像成功了！<br>確認到光子的活性化現象了！<br>這下一定會引發很多PSE的！"""
NpcComOnFailure#2,"""/face4 規定數量以上的激發結晶<br>好像被破壞了......<br>雖然很遺憾，但也只能放棄防衛了。"""
NpcComOnDestroy#2,"""啊啊！<br>$(0)的激發結晶<br>壞掉了！"""
NpcComOnLast#2,"""/face4 嗚嗚嗚......激發結晶<br>只剩下一點點了......"""
NpcComOnAddPse#2,"""/face2 喔喔！　是新的激發結晶！<br>請連新的結晶一起保護！<br>只要能守住結晶，一定會發生好事的！"""
NpcComOnBegin#3,"""励起結晶を守ってください！<br>結晶付近にアークスがいないと<br>結晶の力が減衰してしまいますよ！"""
NpcComOnSuccess#3,"""守りきりました！<br>もう大丈夫です、これでフォトンが<br>活性化してＰＳＥ起こし放題ですよ！"""
NpcComOnFailure#3,"""励起結晶、壊されすぎましたね……<br>仕方がありません、気持ち切り替えて<br>通常任務に戻りましょう。"""
NpcComOnDestroy#3,"""あっ、$(0)の<br>励起結晶が壊れてしまいました！<br>他の結晶を守ってください！"""
NpcComOnLast#3,"""励起結晶、残りわずかです！<br>それだけでも守りきりましょう！"""
NpcComOnAddPse#3,"""おや、新たな励起結晶の出現です。<br>たくさん守れるにこしたことはないので<br>出来るだけ守っていきましょう！"""
NpcComOnBegin#4,"""励起結晶を守ってください！<br>結晶付近にアークスがいないと<br>結晶の力が減衰してしまいますよ！"""
NpcComOnSuccess#4,"""守りきりました！<br>もう大丈夫です、これでフォトンが<br>活性化してＰＳＥ起こし放題ですよ！"""
NpcComOnFailure#4,"""励起結晶、壊されすぎましたね……<br>仕方がありません、気持ち切り替えて<br>通常任務に戻りましょう。"""
NpcComOnDestroy#4,"""あっ、$(0)の<br>励起結晶が壊れてしまいました！<br>他の結晶を守ってください！"""
NpcComOnLast#4,"""励起結晶、残りわずかです！<br>それだけでも守りきりましょう！"""
NpcComOnAddPse#4,"""おや、新たな励起結晶の出現です。<br>たくさん守れるにこしたことはないので<br>出来るだけ守っていきましょう！"""
