Name#0,"""保險箱"""
CashboxMiss#0,"""第$(1)<br>$(3)次　已輸入的數值：$(4)<br>左右：$(2)　位數差異：$(0)"""
CashboxWin#0,"""$(1)更新了<br>最短紀錄！<br>最短紀錄：$(3)次　這次的時間$(4)：$(2)：$(0)"""
CashboxTimeWin#0,"""$(1)並列<br>最短紀錄、更新了完成時間！<br>最短紀錄：$(3)次　最短時間$(4)：$(2)：$(0)"""
CashboxDraw#0,"""$(1)和<br>最短紀錄、最快完成時間並列了！<br>最短紀錄：$(3)次　最短時間$(4)：$(2)：$(0)"""
CashboxTimeLose#0,"""$(1)並列了<br>最短紀錄！<br>這次的紀錄：$(3)次　這次的時間$(4)：$(2)：$(0)"""
CashboxLose#0,"""$(1)完成了<br>！<br>這次的紀錄：$(3)次　這次的時間$(4)：$(2)：$(0)"""
CashboxRecord#0,"""名字：$(1)<br>位數：$(4)位數　最短紀錄：$(3)次<br>最短時間$(5)：$(2)：$(0)"""
CashboxRecordNone#0,"""現在的位數：$(0)位數　無紀錄"""
CashboxWin1#0,"""$(1)更新了最短紀錄！<br>真是太神奇了！在沒有提示的狀況下答對！<br>最短紀錄：$(3)回　這次使用的時間$(4)：$(2)：$(0)"""
CashboxDraw1#0,"""$(1)與最短紀錄，最快通關時間並列第一<br>真是太神奇了！在沒有提示的狀況下答對！<br>最短紀錄：$(3)回　最短時間$(4)：$(2)：$(0)"""
