ra_043010_0001#0,"""A.P.241/4/2"""
ra_043010_0010#0,"""雖然在規模上並不算大<br>但是地球那邊，竟然從12年前開始<br>就已經有在訪問ARKS戰艦了。"""
ra_043010_0020#0,"""而從2年前開始，他們的方針開始轉變為了<br>派遣像火継小姐一樣的「能過來」的人<br>來到這邊，開展調查。"""
ra_043010_0030#0,"""12年前……也就是2016年<br>剛好是以太通訊技術得到確立<br>「ESC-A」普及到了全世界的那個時期。"""
ra_043010_0040#0,"""而2年前……2年前？<br>我記得2年前地球那邊<br>應該沒發生過什麼大事件啊……"""
ra_043010_0050#0,"""……恐怕，起因並非地球，而是我們這邊。<br>不管是12年前，還是2年前<br>都不是在地球，而是在這邊發生了大事件。"""
ra_043010_0060#0,"""<%me><br>您知道這在12年前與2年前<br>都發生過的事件，指的是什麼嗎？"""
ra_043010_0070#0,"""是指瑪托依的事？"""
ra_043010_0080#0,"""是指【深遠之暗】的事？"""
ra_043010_0090#0,"""確實，也發生過瑪托依小姐的事<br>但據我的分析，有可能是【深遠之暗】的復活<br>成為了此事的契機。"""
ra_043010_0100#0,"""是的。據我分析<br>是【深遠之暗】的復活成為了契機<br>使得狀況發生了改變。"""
ra_043010_0110#0,"""我猜測，也許是地球那邊<br>掌握到了【深遠之暗】復活的時機<br>因而改變了與我們交涉的方式。"""
ra_043010_0120#0,"""雖然這兩者間的關聯目前仍不清楚<br>但就目前已收集到的情報來看<br>確實也能得出這樣的結論。"""
ra_043010_0130#0,"""可就算這麼說，這終歸也只是推論啊。<br>抱歉，要是我知道得再多一些的話……"""
ra_043010_0140#0,"""不要這麼說，即便是推論也足夠了。<br>畢竟，曾經看似毫無關聯的情報<br>現在也在逐漸地從點連成線嘛。"""
