11_voice_NPC_5062_100#0,"""先輩，可以過來一下麼？<br>其實有東西想給你......"""
favs_before_020#0,"""總是受你照顧<br>。多少也想回饋一下......"""
favs_before_030#0,"""請收下這個！"""
favs_after_010#0,"""總是聽我胡說八道<br>真的很謝謝你。"""
favs_after_020#0,"""如果前輩願意的話......<br>以後希望可以永遠請你多加指教......"""
favs_after_030#0,"""啊、嗯......<br>總是謝謝你了!<br>今後還請你多多指教！"""
favs_present_010#0,"""從羅提那邊領到了『合成器』。"""
favs_present_020#0,"""從羅提那邊領到了『對空一槍』。"""
favs_present_030#0,"""從羅提那邊領到了『蛇籠空升擊』。"""
favs_present_040#0,"""從羅提那邊領到了『合成器』。"""
favs_present_050#0,"""從羅提那邊領到了『霸腿三連射』。"""
favs_present_060#0,"""從羅提那邊領到了『顫慄爆炸』。"""
favs_present_070#0,"""從羅提那邊領到了『合成器』。"""
favs_present_080#0,"""從羅提那邊領到了『顫慄爆炸』。"""
favs_present_090#0,"""從羅提那邊領到了『披斬亂舞』。"""
favs_present_100#0,"""從羅提那邊領到了『旋身射擊斬』。"""
favs_present_add_001#0,"""ロッティから『<%skit_text>』を受け取りました。"""
11_voice_NPC_5062_100#1,"""啊，我......<br>為了成為ARKS而在努力學習。"""
Npc62_01_020#0,"""哇哇，我必須回去寫報告，<br>然後準備實技演練......"""
11_voice_NPC_5062_100#2,"""啊，我......<br>為了成為ARKS而在努力學習。"""
Npc62_02_020#0,"""哇哇，我必須回去寫報告，<br>然後準備實技演練......"""
11_voice_NPC_5062_100#3,"""啊，我......<br>為了成為ARKS而在努力學習。"""
Npc62_03_020#0,"""哇哇，我必須回去寫報告，<br>然後準備實技演練......"""
11_voice_NPC_5062_100#4,"""啊，我......<br>為了成為ARKS而在努力學習。"""
Npc62_04_020#0,"""哇哇，我必須回去寫報告，<br>然後準備實技演練......"""
11_voice_NPC_5062_100#5,"""啊，我......<br>為了成為ARKS而在努力學習。"""
Npc62_05_020#0,"""哇哇，我必須回去寫報告，<br>然後準備實技演練......"""
11_voice_NPC_5062_100#6,"""啊，我......<br>為了成為ARKS而在努力學習。"""
Npc62_06_020#0,"""哇哇，我必須回去寫報告，<br>然後準備實技演練......"""
11_voice_NPC_5062_100#7,"""啊，我......<br>為了成為ARKS而在努力學習。"""
Npc62_07_020#0,"""哇哇，我必須回去寫報告，<br>然後準備實技演練......"""
11_voice_NPC_5062_100#8,"""啊，ARKS的課程都好累人，<br>但大家都很努力學習。"""
Npc62_08_020#0,"""我、我也要<br>努力。<br>這樣才不會跟不上大家的腳步......"""
11_voice_NPC_5062_100#9,"""啊，ARKS的課程都好累人，<br>但大家都很努力學習。"""
Npc62_mb9_020#0,"""我、我也要<br>努力。<br>這樣才不會跟不上大家的腳步......"""
11_voice_NPC_5062_100#10,"""啊，ARKS的課程都好累人，<br>但大家都很努力學習。"""
Npc62_mb10_020#0,"""我、我也要<br>努力。<br>這樣才不會跟不上大家的腳步......"""
11_voice_NPC_5062_100#11,"""啊，ARKS的課程都好累人，<br>但大家都很努力學習。"""
Npc62_mb11_020#0,"""我、我也要<br>努力。<br>這樣才不會跟不上大家的腳步......"""
11_voice_NPC_5062_100#12,"""啊，ARKS的課程都好累人，<br>但大家都很努力學習。"""
Npc62_mb12_020#0,"""我、我也要<br>努力。<br>這樣才不會跟不上大家的腳步......"""
11_voice_NPC_5062_100#13,"""啊，ARKS的課程都好累人，<br>但大家都很努力學習。"""
Npc62_mb13_020#0,"""我、我也要<br>努力。<br>這樣才不會跟不上大家的腳步......"""
11_voice_NPC_5062_100#14,"""啊，ARKS的課程都好累人，<br>但大家都很努力學習。"""
Npc62_mb14_020#0,"""我、我也要<br>努力。<br>這樣才不會跟不上大家的腳步......"""
11_voice_NPC_5062_104#0,"""……真的是超SHOCK的。<br>不過，我想努力成為像前輩你<br>那樣的ARKS……"""
11_voice_NPC_5062_100#15,"""さ、最近とても変わりましたよね。<br>すごく明るい雰囲気でドキドキします。"""
Npc62_mb18_020#0,"""いい方向に変わってるって<br>みんな、言ってます。<br>わたしもそう、思います。"""
