IncidentName#0,"""破壞侵蝕戰鬥機的控制裝置"""
TrialBeginMsg#0,"""找出被黑暗種侵蝕的戰鬥機的<br>控制裝置，加以破壞！"""
TrialAbstract#0,"""找出被黑暗種侵蝕的戰鬥機的<br>控制裝置，加以破壞！"""
NpcComOnBegin#0,"""這是......黑暗種的反應！？<br>牠們竟然劫持了ARKS的<br>戰鬥機！"""
NpcComOnBeginAtRareCase#0,"""偵測到異常的黑暗種反應。<br>牠想轉往其他戰區！<br>千萬不可放過牠！"""
NpcComOnSuccess#0,"""確認控制裝置已經破壞。<br>侵蝕戰鬥機的反應也消失了。<br>作戰結束。"""
NpcComOnFailure#0,"""/face6 確認侵蝕戰鬥機已轉往其他戰區。<br>恐怕無法追蹤了。<br>繼續執行原本的任務吧。"""
AppearHeli#0,"""ARKS的戰鬥機？<br>......情況有點不對勁，小心點。"""
BreakHeli#0,"""雖然好像擊墜了......<br>別鬆懈，事情還沒結束。"""
RespawnHeli#0,"""果不其然，會一再出現......"""
UrgesFindCore#0,"""攻擊那個是沒用的。<br>控制裝置就藏在某個地方。<br>找出來破壞掉。"""
UrgesArrivalCore1st#0,"""已找出控制裝置的位置。<br>即刻前往$(0)，把它破壞掉。"""
UrgesArrivalCore#0,"""控制裝置的位置在$(0)。<br>即刻前往，把它破壞掉。"""
FindCore#0,"""那個就是控制裝置。<br>迅速將它破壞掉。"""
DamagedCore#0,"""很好，繼續加以攻擊，<br>一口氣破壞掉。"""
TimeupWarning#0,"""目標即將轉往其他戰區。<br>如果放牠跑了，會擴大災情！<br>盡快把它破壞掉！"""
TimeupEmergency#0,"""目標馬上就要轉往其他戰區了。<br>盡速破壞控制裝置！"""
