name01#0,"""艾塔妮"""
text01#0,"""接下來是關於光子的問題。"""
text02#0,"""您的知識相當正確。<br>期待您今後作為一位ARKS人員<br>繼續活躍表現。"""
text03#0,"""您的光子相關知識相當正確。<br>那麼，這是答對所有光子相關問題的<br>獎勵。"""
text04#0,"""從艾塔妮手中收下了「淨化結界」。"""
text05#0,"""有興趣時，也請挑戰看看其他問題。<br>"""
text06#0,"""您的光子相關知識還須加強。<br>我準備了答對所有問題的獎勵<br>請再多來挑戰幾次。"""
text07#0,"""您的光子相關知識還須加強。<br>以前您曾經答對過所有問題，<br>要不要再複習一遍呢？"""
text00#0,"""不只是ARKS的戰鬥行動<br>在運用ARKS戰艦方面以及<br>我們的生活上也少不了光子。"""
text07#1,"""這種粒子的特徵是無味、無臭、無色。<br>在平常狀態下是無法辨認的<br>必須要有資質的人才能使用它。"""
text08#0,"""那麼，為了成為ARKS<br>所不可或缺的資質<br>是什麼？"""
text01#1,"""從無中生出光子的力量"""
text02#1,"""從光子中生出武器等等的力量"""
text03#1,"""將光子變換為能源等等的力量"""
text04#1,"""答錯了。<br>光子不需要額外產生<br>大氣中就已經有豐富含量了。"""
text09#0,"""正確答案是，將光子變換為能源等等的<br>資質。<br>這對ARKS來說是不可或缺的。"""
text10#0,"""ARKS會將體內或大氣中的光子<br>附加在武器上或是釋放出來<br>做為攻擊手段。"""
text05#1,"""答錯了。<br>考慮到光子的性質，應該不可能吧<br>或許還不算是什麼驚人的發現吧......"""
text11#0,"""正確答案是，將光子變換為能源等等的<br>資質。<br>這對ARKS來說是不可或缺的。"""
text12#0,"""ARKS會將體內或大氣中的光子<br>附加在武器上或是釋放出來<br>做為攻擊手段。"""
text06#1,"""正確答案。<br>擁有將光子變換為能源等等的<br>資質之人，才能成為ARKS。"""
text13#0,"""ARKS會將體內或大氣中的光子<br>附加在武器上或是釋放出來<br>做為攻擊手段。"""
text00#1,"""那麼，接著來確認運用光子的<br>戰鬥技術。"""
text07#2,"""利用光子使出的武器固有戰鬥行動......<br>打個比方說，就是類似必殺技的技術<br>我們稱它為什麼？"""
text01#2,"""光子技能"""
text02#2,"""被動技能"""
text03#2,"""武裝系統"""
text04#2,"""正確答案。"""
text08#1,"""每個武器的光子技能都不一樣<br>因此在變更武器後別忘了重新設定。"""
text05#2,"""答錯了。"""
text09#1,"""將光子的能源轉用為攻擊行動，<br>使出必殺一擊。<br>這就稱為「光子技能」。"""
text06#2,"""答錯了。"""
text10#1,"""將光子的能源轉用為攻擊行動，<br>使出必殺一擊。<br>這就稱為「光子技能」。"""
text00#2,"""下一題也是關於運用光子的<br>戰鬥技術。"""
text07#3,"""將光子變換為火焰等等後放出......<br>打個比方說，就是類似法術的技術<br>我們稱它為什麼？"""
text01#3,"""魔術"""
text02#3,"""法術"""
text03#3,"""特殊能力"""
text04#3,"""答錯了。<br>雖然也不能算錯，不過<br>正式稱呼應該叫「法術」。"""
text08#2,"""將光子化為具體，產生出火焰或寒冰等<br>朝向敵人釋放出來。<br>這是法師最擅長的。"""
text05#3,"""正確答案。"""
text09#2,"""將光子化為具體，產生出火焰或寒冰等<br>朝向敵人釋放出來。<br>這是法師最擅長的。"""
text06#3,"""答錯了。那是<br>附加在武器或配件上的<br>能力的稱呼。"""
text10#2,"""正確應該是「法術」。"""
text11#1,"""將光子化為具體，產生出火焰或寒冰等<br>朝向敵人釋放出來。<br>這是法師最擅長的。"""
