IncidentName#0,"""擊敗所有的敵人！"""
TrialBeginMsg#0,"""利用槍座擊敗所有的敵人！"""
TrialAbstract#0,"""利用槍座擊敗所有的敵人！"""
NpcComOnPreBegin#0,"""確認有新的敵人正在接近。<br>所有人員請特別注意。"""
NpcComOnBegin#0,"""我將槍座傳送到周圍座標。<br>請各位加以活用。"""
NpcComOnSuccess#0,"""/face2 確認已殲滅所有敵人。<br>周圍地區也沒有反應。<br>辛苦了。"""
NpcComOnFailure#0,"""只有欄位。不用"""
HelpMessage#0,"""槍座傳送完畢。<br>請利用它殲滅<br>敵人。"""
EmplacementBroke#0,"""遭到破壞的槍座，我馬上補充。<br>再過$(0)秒就完成了。"""
EmplacementRespawn#0,"""重新傳送槍座完畢。<br>請多指教。"""
EnergyStandRespawn#0,"""消耗的彈匣已補充好了。"""
NpcComOnPreBegin#1,"""新的敵人反應正在接近。<br>真是麻煩......當心點。"""
NpcComOnBegin#1,"""我會將槍座傳送到周圍座標。<br>善加運用。"""
NpcComOnSuccess#1,"""已確認殲滅了包括增援在內的所有敵人。<br>作戰結束。"""
NpcComOnFailure#1,"""只有欄位。不用"""
HelpMessage#1,"""已經將槍座傳送到周圍座標了。<br>利用它殲滅敵人吧。"""
EmplacementBroke#1,"""槍座被破壞，我會補充新的給你。<br>$(0)秒後重新傳送。"""
EmplacementRespawn#1,"""重新傳送槍座完畢。"""
EnergyStandRespawn#1,"""已補充消耗的彈匣。"""
NpcComOnPreBegin#2,"""敵人越來越接近了！<br>這是......請小心！"""
NpcComOnBegin#2,"""/face2 我要傳送槍座了！<br>請善加利用喔。"""
NpcComOnSuccess#2,"""/face2 敵人的反應消失了！<br>辛苦了！<br>請回到平時任務吧！"""
NpcComOnFailure#2,"""只有欄位。不用"""
HelpMessage#2,"""/face2 我想槍座應該已經傳送到附近了！<br>請盡情使用吧！"""
EmplacementBroke#2,"""槍座壞了，我再傳送過去！<br>$(0)秒後重新傳送！"""
EmplacementRespawn#2,"""槍座有重新傳送到吧？"""
EnergyStandRespawn#2,"""彈匣補給好囉！"""
NpcComOnPreBegin#3,"""接近する敵性反応を感知。<br>警戒してください。"""
NpcComOnBegin#3,"""そちらに銃座を転送します。<br>適時利用してください。"""
NpcComOnSuccess#3,"""全ての敵性反応、消失。<br>通常任務に戻ってください。"""
NpcComOnFailure#3,"""只有欄位。不用"""
HelpMessage#3,"""銃座、転送完了。<br>適時利用し、敵性存在の殲滅を。"""
EmplacementBroke#3,"""破壊された銃座を交換します。<br>再転送まで、あと$(0)秒。"""
EmplacementRespawn#3,"""銃座、再転送完了。"""
EnergyStandRespawn#3,"""弾倉、補充完了。"""
NpcComOnPreBegin#4,"""新たな敵性反応が接近中！<br>注意してください！"""
NpcComOnBegin#4,"""周辺座標に銃座を転送しました！<br>がんがん利用しちゃってください！"""
NpcComOnSuccess#4,"""敵性反応、消失確認！<br>流石ですね、お疲れさまでした！"""
NpcComOnFailure#4,"""只有欄位。不用"""
HelpMessage#4,"""銃座の転送、完了しました！<br>うまく使ってくださいね！"""
EmplacementBroke#4,"""破壊された銃座を交換します！<br>再転送まで$(0)秒！"""
EmplacementRespawn#4,"""銃座の再転送、完了しました！"""
EnergyStandRespawn#4,"""弾倉、補充しました！<br>がんがん撃っていきましょう！"""
