name01#0,"""希爾達"""
name02#0,"""武器的切換"""
11_voice_navi02_123#0,"""……最後，來說明<br>武器的裝備和變更方式吧。"""
11_voice_navi02_124#0,"""那麼就按照剛才的說明<br>來切換武器看看吧。"""
text00#0,"""關於『武器的切換方法』"""
text01#0,"""教學<br>說明關於『武器的切換方法』。"""
text02#0,"""可將戰鬥中切換使用的武器複數加入到武器快捷列中，<br>並可從該武器快捷列中選一個來裝備。"""
text03#0,"""可將戰鬥中切換使用的武器複數加入到武器快捷列中，<br>並可從該武器快捷列中選一個來裝備。"""
text05#0,"""先來實際切換武器快捷列的裝備，<br>試著使用看看吧。"""
text100#0,"""以<%PaletteReverse>、<%PaletteForce>選擇，並以<%Access>切換！"""
text1000#0,"""以<%PaletteReverse>、<%PaletteForce>選擇，再按<%Access>決定！"""
text1001#0,"""以<%PaletteReverse>、<%PaletteForce>選擇，並以<%Access>切換！"""
text201#0,"""切換裝備吧！"""
text202#0,"""切換裝備吧！"""
text203#0,"""武器快捷列選擇：<%PaletteReverse>、<%PaletteForce><br>武器快捷列切換：<%Decide>"""
text204#0,"""武器快捷列選擇：<%PaletteReverse>、<%PaletteForce><br>武器快捷列切換：<%Decide>"""
