IncidentName#0,"""突破隔離狀況！"""
TrialBeginMsg#0,"""討伐$(0)隻外敵，突破隔離狀況！"""
TrialAbstract#0,"""討伐$(0)隻外敵，突破隔離狀況！"""
NpcComOnBegin#0,"""是隔離用的陷阱麼......<br>我將返回用的彈射器傳送過去。<br>請您先消滅外敵。"""
NpcComOnSuccess#0,"""/face2 確認已消滅敵方勢力。<br>傳送彈射器。<br>請繼續前進。"""
NpcComOnFailure#0,"""/face4 陷阱的目的是......爭取時間吧。<br>看來讓對方得逞了。<br>立刻脫離此處，趕緊前進吧。"""
NpcComOnBegin#1,"""是隔離用的陷阱麼？　耍這種討厭的小伎倆。<br>所有人員立刻掃蕩隔離島上的外敵。<br>然後我再將脫離用的機器傳送過去。"""
NpcComOnSuccess#1,"""很好，確認敵人已經掃蕩一空。<br>立刻脫離，繼續前進。"""
NpcComOnFailure#1,"""嘖，對方的目的是爭取時間麼。<br>我把彈射器送過去，腳步加快。"""
NpcComOnBegin#2,"""哇哇，陷阱，是陷阱！<br>為了將脫離用裝置送過去<br>請您先將敵人解決掉！"""
NpcComOnSuccess#2,"""/face2 我要傳送彈射器了！<br>請繼續前進！"""
NpcComOnFailure#2,"""/face4 嗚嗚嗚......這個陷阱的目的<br>似乎只是為了爭取時間......<br>請加快腳步！"""
