Title#0,"""魔神城戦"""
Explanation#0,"""異世界歐米茄的魔神城活性化了。<br>在那個世界發生了戰亂。<br>請前往歐米茄，擊破魔神城。<br>是一場爲了突破魔神結界而創造的兵器「破界鎚」作爲關鍵的戰鬥！<br>加油吧，守護輝士！<br>――――――――――――――――――――<br>超過限制時間後任務結束<br>敵方戰力槽變爲0<br>或者超過限制時間時己方超過敵方的話即爲勝利"""
StoryExplanation#0,"""擊破魯茲的奸計，一邊擊破魔神城一邊向王都前進的由哈莉艾特率領的革命軍。<br>決定昆特未來的戰鬥馬上就要開始了。"""
Title#1,"""昆特城決戰"""
Explanation#1,"""擊破魯茲的奸計，一邊擊破魔神城一邊向王都前進的由哈莉艾特率領的革命軍。<br>決定昆特未來的戰鬥馬上就要開始了。<br>――――――――――――――――――――<br>超過限制時間後任務結束<br>敵方戰力槽變爲0<br>或者超過限制時間時己方超過敵方的話即爲勝利"""
SimpleExplanation#0,"""擊破魔神城！"""
NpcComMsg1#0,"""馬上就是魔神城戰了！<br>已經確認到障壁的展開<br>會是一場激戰。"""
NpcComMsg2#0,"""請召喚破界鎚破壞障壁<br>接近魔神城，然後擊破。<br>祝武運昌盛！　加油！"""
OnQuestBegin_0#0,"""敵軍進入攻擊準備姿態了！<br>趁現在設置兵器和進行魔力的回收！"""
OnQuestBegin_1#0,"""積累魔力的話，ARKS兵器會被強化，還有可召喚的破界鎚的數量也會增加。"""
OnDefencePhase1Start0#0,"""確認到敵軍開始進攻！<br>請一邊防衛破界塔，一邊儘可能地收集魔力！"""
OnDefencePhase1Start1#0,"""敵軍再次開始進攻！<br>收集魔力到一定量時破界塔會自動恢復！"""
OnDefencePhase1Start2#0,"""敵軍再次開始進攻！<br>請一邊防衛破界塔不被破壞一邊進行魔力的回收！"""
OnDefencePhase2Start0#0,"""不好了！　敵軍對破界塔的進攻開始了！<br>請暫時後撤，專心防衛！"""
OnDefencePhase2Start1#0,"""敵軍再一次開始了進攻！　雖然結界被破壞了，但是破界塔被破壞了的話<br>就輸了！請注意！"""
OnDefencePhase3Start0#0,"""確認到來自魔神城的巨大反應！<br>好像是對破界塔的狙擊攻擊！<br>請一定要阻止它！"""
OnDefencePhase3Start1#0,"""再一次確認到來自魔神城的巨大反應……！<br>請阻止魔神城的攻擊，守衛破界塔！"""
OnAttackPhase1Start0#0,"""破界鎚召喚完畢！<br>請守衛破界鎚不被敵軍破壞，然後破壞障壁！"""
OnAttackPhase1Start1#0,"""破界鎚召喚完畢！<br>請守衛破界鎚不被敵軍破壞，然後破壞剩餘的障壁！"""
OnAttackPhase1Start2#0,"""破界鎚召喚完畢！<br>這次一定要突破敵方的障壁！"""
OnAttackPhase2Start0#0,"""成功破壞全部障壁！<br>剩下的就是打倒魔神城了！<br>首先是對腹部的核心進行攻擊！"""
OnAttackPhase2Start1#0,"""魔神城會對破界塔發出雷射光線！<br>請儘快破壞核心！"""
OnAttackPhase3Start0_0#0,"""爲了對魔神城進行攻擊，請從左右兩邊的階梯前往中央的橋！"""
OnAttackPhase3Start0_1#0,"""這次魔神城也會對破界塔發出雷射光線！<br>請儘快擊破！"""
OnAttackPhase3Start1#0,"""請再一次登上防衛機構<br>前往魔神城的弱點！"""
OnDefencePhase1End0#0,"""完成對敵軍的鎮壓！<br>正在召喚破界鎚。請趁現在進行進軍的準備！"""
OnDefencePhase1End1#0,"""再一次召喚破界鎚攻擊障壁！<br>去回收魔力，增加可召喚的破界鎚的數量吧！"""
OnDefencePhase1End2#0,"""破界鎚召喚中！<br>請準備突入！"""
OnAttackPhase1End0#0,"""破界鎚消失，敵方增援出現！<br>再一次進攻就要來了，請加固對破界塔的守衛！"""
OnAttackPhase1End1#0,"""破界鎚消失，敵方增援再次出現！<br>請加固對破界塔的守衛！"""
OnAttackPhase1End2#0,"""破界鎚全消失，敵方增援再次出現！<br>請加固對破界塔的守衛！"""
OnDefencePhaseEndByTimeOver#0,"""敵軍的動向發生改變！<br>一部分敵人會自爆！<br>請注意！"""
OnDefencePhaseEnemyDecrease0#0,"""敵軍數量正在減少！<br>就這樣擊潰他們！"""
OnDefencePhaseEnemyDecrease1#0,"""敵軍數量不多了！<br>還有很少的一部分！"""
OnWaveHapping#0,"""魔神城有未知的動向！<br>好像會搗亂的樣子！<br>請各位針對狀況進行行動！"""
OnRamCountIncrease#0,"""已回收一定量的魔力！<br>可以召喚更多破界鎚！<br>繼續回收魔力吧！"""
OnBaseHpDecrease0#0,"""$(0)破界塔的損傷擴大！<br>請儘快去救援！"""
OnBaseHpDecrease1#0,"""$(0)破界塔要沒了！<br>請火速救援！"""
OnBrokenBase0#0,"""破界塔已被破壞！<br>還剩3個！　還有機會！　不要急躁！"""
OnBrokenBase1#0,"""第二個破界塔被破壞！<br>狀況不容樂觀！<br>請注意！"""
OnBrokenBase2#0,"""第三個破界塔被破壞！<br>請一定死守剩下的一個破界塔！"""
OnBrokenBase3#0,"""全部破界塔都被破壞了。<br>很遺憾，無法繼續戰鬥了。"""
OnBossDeadlySkill#0,"""來自魔神城的超巨大能量反應！<br>這樣下去的話，據點很危險！<br>請盡全力撐住！"""
OnHpGaugeDecrease0#0,"""己方的損傷擴大中！<br>如果損傷繼續擴大的話，可以撤退！"""
OnHpGaugeDecrease1#0,"""己方的損傷非常大！　無法承受更多的損傷！　請將損傷減小到最小，守護破界塔！"""
OnTimeDecrease0#0,"""可戰鬥的時間，剩餘一半！<br>天平指向我們這邊的話就贏了<br>可能的話，請擊破魔神城！"""
OnTimeDecrease1#0,"""可戰鬥時間很短了！<br>還差一點兒，請不要放棄堅持到最後！"""
OnSuccessTimeover#0,"""確認敵軍已撤退！<br>損傷不是很大，是我們的勝利！"""
OnSuccessBreakGauge#0,"""確認魔神城的消失！<br>是我們的完全勝利！"""
OnSuccessReturn#0,"""那麼請返回。<br>幸苦了！"""
OnFailureTimeover#0,"""確認破界塔的損傷。<br>很難繼續戰鬥。<br>暫時撤退吧。"""
OnFailureAnnihilationBase#0,"""確認全部破界塔機能停止……<br>很難繼續戰鬥<br>因此暫時撤退吧。"""
OnFailureReturn#0,"""雖然很遺憾……但是沒辦法。<br>請返回吧。"""
