un_013000_0001#0,"""A.P.238/4/4"""
un_013000_0010#0,"""哈哈哈！　聽見了麼？<br>你聽見了吧！<br>我那高亢入雲的呼喊！"""
un_013000_0020#0,"""不用說就知道的六芒均衡<br>我乃修伊，為你而來！"""
un_013000_0030#0,"""喂，那邊的ARKS小弟們！<br>千萬給我盯緊了螢幕！"""
un_013000_0040#0,"""我可不是因為好玩<br>才想要駭取螢幕控制喔！<br>這是六芒均衡發出的重要通知！"""
un_013000_0050#0,"""各位！　日前的<br>黑暗法爾斯決戰，<br>大家很努力！"""
un_013000_0060#0,"""有了各位的協助<br>我們才能勉力將其擊退！<br>這是我們的勝利，打贏啦！"""
un_013000_0070#0,"""因此，為了紀念本次勝利，<br>這邊想要舉辦一項<br>由我主導的活動！"""
un_013000_0080#0,"""名稱就叫......！<br>ARKS戰技大祭典！"""
un_013000_0090#0,"""主辦人就是我！　雷吉亞斯那邊也已經<br>完全拿到許可了，各位不用擔心！"""
un_013000_0100#0,"""我們會考慮一些超大型的項目<br>讓各位展現平日鍛鍊的身手，<br>敬請各位期待！"""
un_013000_0110#0,"""那麼，再會啦！"""
