st_063030_0020#0,"""<%me>、二代目。<br>歡迎回來。"""
st_063030_0030#0,"""阿露瑪桑！<br>身體已經沒事了嗎？"""
st_063030_0040#0,"""雖然不能說完全調整好。<br>夏歐君、你回來了<br>我也不能一直躺着嗎。"""
st_063030_0050#0,"""敵方勢力的出現預測是這樣的。<br>傳送到市區的預兆<br>看來又要直接進入。"""
st_063030_0060#0,"""光子給人的感覺很像偵察吧？<br>如果是認真來的話<br>也會嚇一跳的。"""
st_063030_0070#0,"""但是、只要知道會來<br>就會有對策！"""
st_063030_0080#0,"""雖然也預測到了我方的行動<br>但如果出現後立即迎擊的話<br>多少應該會有出其不意。"""
st_063030_0090#0,"""也就是說、最初的一擊很重要。<br>我想把這個第一槍交給你們。"""
st_063030_0100#0,"""交給我吧"""
st_063030_0110#0,"""可能沒有自信"""
st_063030_0120#0,"""嗯。<br>我也……一起加油！"""
st_063030_0130#0,"""……沒關係、<%me>。<br>我也要一起加油！"""
st_063030_0140#0,"""那就拜託你們兩個人了。"""
