name01#0,"""播報員"""
st_042060_0001#0,"""A.D.2028/3/23/13:00"""
st_042060_0010#0,"""這個好好吃！<br>這個好好吃呀，姐姐！"""
st_042060_0020#0,"""好，好，吃飯的時候不要說話。<br>你看你這不都吃到嘴邊上去了嘛？<br>乖別動，我來幫你擦。"""
st_042060_0030#0,"""火、火継！<br>我也把嘴邊稍微弄髒了！<br>就嘴邊！"""
st_042060_0040#0,"""哦是麼，這個給你。"""
st_042060_0050#0,"""不過話說回來，這吃個午餐<br>連挑店、預約、甚至點餐都一下子就搞好了<br>現在這時代還真是變得好方便啊。"""
st_042060_0060#0,"""火継你也帶一個就好了呀？這個超方便的哦。<br>不僅是遊戲，其他方方面面也能用得到<br>我現在都離不開它了。"""
st_042060_0070#0,"""我比較喜歡不被任何人注視著<br>在房間裡安安靜靜地玩電腦。"""
st_042060_0080#0,"""雖然話是這麼說。<br>可就現在這個形勢，沒它可不方便了呢。<br>畢竟也開發了好多專用APP在上面嘛。"""
st_042060_0090#0,"""特別是這個YMT公司做的APP<br>功能都直戳痛點<br>用起來超方便的呢。"""
st_042060_0100#0,"""不管是預約這家餐廳<br>還是剛才給你們看過的穿搭<br>用的都是YMT公司做的APP。"""
st_042060_0110#0,"""而且哦，據說這公司的社長<br>好像還是我們學校的畢業生呢。"""
st_042060_0120#0,"""你怎麼這麼了解啊，冰莉？"""
st_042060_0130#0,"""是火継你太不關心這些啦。<br>最近這話題聊得可火了。"""
st_042060_0140#0,"""你看，說曹操曹操就來了<br>那個社長上綜藝節目了哦。"""
st_042060_0150#0,"""YMT公司無疑是現如今最最最、最大的焦點！<br>而我現在，就來到了它們的辦公樓裡！"""
st_042060_0160#0,"""而且而且，還是被稱為了時代寵兒的<br>亞贄萩斗社長，親自來帶我們參觀哦！<br>社長，今天真是麻煩您了！"""
st_042060_0170#0,"""哪裡的話，反倒是麻煩你了才是。"""
st_042060_0180#0,"""公司名似乎並不是社長的名字呢。<br>為什麼會叫作YMT公司呢？<br>應該是什麼的略稱吧？"""
st_042060_0190#0,"""您覺得是什麼的略稱？"""
st_042060_0200#0,"""這個嘛……畢竟是YMT……<br>感覺會包含Year或者Multi這樣的詞呢！"""
st_042060_0210#0,"""可惜並不對。<br>答案是大和（Ya・Ma・To）哦。"""
st_042060_0220#0,"""Ya・Ma・To？"""
st_042060_0230#0,"""大和這個詞，也意指氣魄。<br>我是個日本人，也是這麼起名的原因之一。"""
st_042060_0240#0,"""而且最重要的是，這名稱還致敬了<br>那個頗為有名的「戰艦大和」。<br>所以才會叫YMT。"""
st_042060_0250#0,"""哈、哈啊，戰艦大和……呀。<br>這麼一說，公司門口那裡確實裝飾著個模型呢。<br>那個也是嗎……？"""
st_042060_0260#0,"""可惜，錯了。<br>那個並不是大和，而是武藏。<br>它是就任於1942年的，大和型二號艦。"""
st_042060_0270#0,"""欸，原來是這樣麼？"""
st_042060_0280#0,"""不過，您分辨不出來也是很正常的。<br>大和與武藏畢竟屬於同一個型號的戰艦<br>順著剛才的話題聊下來，您認錯了也是難免的。"""
st_042060_0290#0,"""哈、哈啊……"""
st_042060_0300#0,"""這戰艦大和，也可以說是我的靈魂一般的存在。<br>它並沒有裝飾在這裡，而是放在了在我自己家裡<br>最為顯眼的地方。您要不要也來我那兒看看？"""
st_042060_0310#0,"""啊，倒也不必……"""
st_042060_0320#0,"""是嘛？那還真可惜。"""
st_042060_0330#0,"""啊對了，您看那個。裝飾在那邊的模型<br>是於2000年代末被正式採用的10式戰車。<br>……它也好美呢。您不覺得嗎？"""
st_042060_0340#0,"""聽說最近，有很多人都特別執著與<br>形式、種類，以及年代的統一。<br>我倒也不是說這樣不好。"""
st_042060_0350#0,"""不過對於我而言，無論是舊大戰時代的兵器<br>還是現今時代的兵器，我都平等地愛著它們。<br>畢竟可以從中窺見歷史的變遷嘛。"""
st_042060_0360#0,"""來，您瞧仔細些。<br>這個模型的…………"""
st_042060_0370#0,"""……這人是阿宅。"""
st_042060_0380#0,"""……確實是阿宅呢。"""
st_042060_0390#0,"""阿宅是什麼呀？"""
st_042060_0400#0,"""就是指冰莉這種人。"""
st_042060_0410#0,"""你這說明也太粗糙了吧火継！"""
st_042060_0420#0,"""阿有弟弟，這阿宅呢，指的是<br>癡迷於喜愛的興趣之中的人哦。"""
st_042060_0430#0,"""是嘛？<br>那冰莉都癡迷於什麼呢？"""
st_042060_0440#0,"""這、這個嘛……"""
st_042060_0450#0,"""……幹嘛在這種地方吞吞吐吐啊。"""
st_042060_0460#0,"""……原來如此。「阿宅」呀……<br><%me>您有像這樣癡迷於什麼嗎？"""
st_042060_0470#0,"""我癡迷於ARKS的任務哦"""
st_042060_0480#0,"""我癡迷於雪拉呀"""
st_042060_0490#0,"""並沒有"""
st_042060_0500#0,"""簡直是ARKS的榜樣！<br>真是希望那些出任務摸魚、寫報告亂寫的各位<br>好好學習一下呢。"""
st_042060_0510#0,"""欸……欸嘿嘿，謝謝您。<br>雖然我知道您這是奉承我，不過我也很高興。"""
st_042060_0520#0,"""不過不過不過不過，您還得聽我講一句哦<br>這種事情，一般都是不會放到檯面上來講的啦。"""
st_042060_0530#0,"""欸，您沒有什麼癡迷的嗎？<br>倒也不一定非得是癡迷啦，就比如<br>有在關注的事情，之類的……"""
st_042060_0540#0,"""我想，找到在工作之外能放鬆一下的東西<br>也肯定是一件不錯的事情哦。"""
st_042060_0550#0,"""順便一提，我現在正癡迷於對大家的管理業務！<br>換句話說，我就是管理阿宅！<br>……欸，意思不對嗎？"""
st_042060_0560#0,"""不過，不管怎麼說，有一件癡迷的事<br>總歸是一件非常幸福的事情呢。"""
