un_047040_0010#0,"""おお、<%me>か！<br>元気そうだな！"""
un_047040_0020#0,"""私はこれから、先代とデートなのだ！<br>ふふん、いいだろう！\u3000羨ましいだろう！"""
un_047040_0030#0,"""で、デートじゃないよ！<br>ただの訓練のお手伝いだからね！"""
un_047040_0040#0,"""私の訓練相手ともなると<br>並の相手ではつとまらなくてな！<br>ときどき先代に相手をお願いしてるんだ！"""
un_047040_0050#0,"""クラリスクレイスちゃん、手加減しないからね……<br>相手が怖じ気づいても仕方がないと思うよ。"""
un_047040_0060#0,"""訓練で手加減しても意味がないだろう。<br>実力を確認するのが、訓練なんだからな。"""
un_047040_0070#0,"""あはは……それはまったく正論なんだけどね……<br>自信を持ってもらうって意味もあるからさ。<br>ときにはやられ役を演じるのも必要だと思うよ？"""
un_047040_0080#0,"""やられ役？\u3000先代も演じているのか？<br>……もしかして、私との訓練のときも？"""
un_047040_0090#0,"""あっ……いや、ええっと……<br>私は全力！\u3000いつでも全力だよ！\u3000うん！<br>ね、<%me>！"""
un_047040_0100#0,"""１．嘘が下手だね"""
un_047040_0110#0,"""２．全力を出したら死ぬんだぞ"""
un_047040_0120#0,"""もうっ！\u3000ばらさないでよ！"""
un_047040_0130#0,"""……先代。<br>流石の私でも今のはわかるぞ。"""
un_047040_0150#0,"""……それ、昔に私が言ってたことだな。<br>無理に話題を逸らそうとしなくてもいい。"""
un_047040_0160#0,"""私はもともと先代より能力が劣る。<br>手加減されていても仕方がない。"""
un_047040_0170#0,"""だが、先代がどうしていようが、私が先代と<br>五分に戦えているというのはれっきとした事実。<br>……つまり私と先代は、互角だ！"""
un_047040_0180#0,"""相手側の都合なんて私の知ったことではない。<br>「勝ったら強い、負けたら弱い、それでいい」って<br>ヒューイは言ってたし、私もそう思うぞ。"""
un_047040_0190#0,"""……うん、そうだね。<br>クラリスクレイスちゃん。"""
un_047040_0200#0,"""だがー、露骨に手を抜かれていたのならば<br>それはそれで腹が立ーつ！"""
un_047040_0210#0,"""よーし、先代！<br>今日は手抜き手加減一切なしで勝負だ！<br>いいな、絶対だぞ！"""
un_047040_0220#0,"""ええっ……でも…………"""
un_047040_0230#0,"""絶対だぞ！"""
un_047040_0240#0,"""……うん、わかった。<br>今日は今まで以上に、全力で頑張るね！"""
un_047040_0250#0,"""ふふっ、望むところだ！"""
