Active#0,"""【PSE】$(0) Lv$(1)"""
Fever#0,"""【PSE】$(0) Lv8"""
CrossFever#0,"""【PSE】$(0) Lv8"""
AreaChangeTitle#0,"""<pict $(0)>$(1)【予兆】"""
atp_strike#0,"""打擊力提升"""
atp_firearm#0,"""射擊力提升"""
atp_technic#0,"""法擊力提升"""
meseta_drop#0,"""美賽達增加"""
pp_consumption#0,"""PP消耗量減少"""
experience#0,"""經驗值增加"""
rare_enemy#0,"""稀有型敵人出現率提升"""
boost_enemy#0,"""變異怪出現率提升"""
photon_blast#0,"""爆擊能量上昇率提升"""
critical_up#0,"""關鍵一擊率提升"""
atkup_fire#0,"""火屬性強化"""
atkup_ice#0,"""冰屬性強化"""
atkup_thunder#0,"""雷屬性強化"""
atkup_wind#0,"""風屬性強化"""
atkup_light#0,"""光屬性強化"""
atkup_dark#0,"""暗屬性強化"""
dropup_fire#0,"""火屬性加成"""
dropup_ice#0,"""冰屬性加成"""
dropup_thunder#0,"""雷屬性加成"""
dropup_wind#0,"""風屬性加成"""
dropup_light#0,"""光屬性加成"""
dropup_dark#0,"""暗屬性加成"""
add_element#0,"""PSE023"""
justatk_up#0,"""適時強化"""
weakhit_up#0,"""弱點傷害強化"""
pp_recover#0,"""PP恢復量提升"""
zerorange_up#0,"""零距離強化"""
rare_incident#0,"""稀有試煉強化"""
attack#0,"""攻擊力UP"""
compound1#0,"""マルチブースト"""
costume#0,"""コスチュームボーナス"""
ta_justattack#0,"""テックアーツJAブースト"""
damage_cut#0,"""ダメージカット"""
compound1_general#0,"""マルチブースト"""
mack_buff1#0,"""攻擊力特大UP"""
mack_buff2#0,"""サバイバル用仮２"""
mack_buff3#0,"""サバイバル用仮３"""
compound1#1,"""マルチブースト：攻撃力ＵＰ・ゼロレンジブースト・ＰＰ回復ＵＰ"""
compound1_general#1,"""マルチブースト：攻撃力ＵＰ・ゼロレンジブースト・ＰＰ回復ＵＰ"""
