Begin#0,"""開始5008"""
Success#0,"""成功5008"""
Failure#0,"""失敗5008"""
Dead#0,"""自己死亡5008"""
BuddyDead#0,"""對手死亡5008"""
Evolution#0,"""連線5008"""
Begin#1,"""/mn2 /ci4 4 啊，老師！ 太好了！<br>請幫幫我！ 敵人也是<br>只靠修伊是阻止不了的！"""
Success#1,"""/mn15 /ci2 1 t5 啊，是、是的！<br>……為什麼我會跟修伊一起探索呢。"""
Failure#1,"""/mn4 我沒辦法再繼續下去了……<br>……對不起，老師<br>先撤退了。"""
Dead#1,"""/mn1 探索蛋糕屋為什麼會變成這樣。<br>我，很不甘心……！"""
BuddyDead#1,"""/mn23 /ci5 2 修、修伊！<br>在這種時候裝死麼！？<br>我、我們不加油的話！"""
Begin#2,"""/mn1 /ci1 2 あ、先生！\u3000たすけてくださーい！<br>エネミーも、ヒューイさんも<br>止まらないんです……！"""
Success#2,"""/ci4 2 あっ、は、はいっ！<br>……どうして自分はヒューイさんに<br>巻き込まれてるんだろう？"""
Failure#2,"""/mn23 /ci4 3 自分、これ以上は無理です……<br>……すみません、先生<br>先に退かせてもらいます！"""
Dead#2,"""/mn5 自分、もう限界です……！<br>くやしいです……！"""
BuddyDead#2,"""/mn2 ひゅ、ヒューイさん！<br>こんなときにやられたフリですか！？<br>じ、自分たちが頑張るしか！"""
Begin#3,"""/ci2 1 押忍！<br>見つけましたよ先生！<br>自分も一緒に戦います！"""
Success#3,"""/ci2 2 さすが先生！\u3000相変わらず<br>見惚れるくらいの戦いぶりでした！<br>自分も、ここで頑張ります！"""
Failure#3,"""/mn4 ここで<br>先生を支えたかったのに……<br>すみません、先生……"""
Dead#3,"""先生、すみません……<br>必ずシバに、勝ってください……"""
BuddyDead#3,"""/ci1 4 ロッティの分まで<br>自分が戦います！<br>押忍！"""
