ra_010670_0010#0,"""<%me>閣下。<br>我知道了，我終於弄明白了......"""
ra_010670_0020#0,"""雪原的環境數值，還有裡面的<br>黑暗種因子所代表的意義，我終於弄明白了。"""
ra_010670_0030#0,"""......那片雪原地區是距今約<br>40年前被創造出來的。"""
ra_010670_0040#0,"""還有，很有可能<br>是被黑暗種創造出來的。"""
ra_010670_0050#0,"""你問我為何要創造出雪原地區？<br>這是黑暗種的攻擊啊......<br>......不。"""
ra_010670_0060#0,"""......是『黑暗法爾斯』。"""
ra_010670_0070#0,"""沒錯......年代也完全吻合......<br>這麼簡單的事實，我怎麼會<br>沒注意到其中的關聯性呢？"""
ra_010670_0080#0,"""40年前，被三英雄擊退的<br>黑暗種首領、『黑暗法爾斯』。<br>他們的決戰地點，一定就是那裡。"""
ra_010670_0090#0,"""納貝流士原本並沒有雪原<br>是個氣候穩定、充滿植物的行星。"""
ra_010670_0100#0,"""然而，在『黑暗法爾斯』<br>以超越人類智慧的攻擊之下，整顆行星的環境<br>都為之改變，雪原就是那時被創造出來的。"""
ra_010670_0110#0,"""這樣思考的話，那些異常數值<br>以及氣候的巨變，都解釋得通了。<br>所以情況才會這麼奇怪......"""
ra_010670_0120#0,"""不過，如果只有這樣的話<br>應該不至於構成需要殺人滅口的秘密。<br>一定還有某種其他的原因......"""
ra_010670_0130#0,"""A.P.238/3/31"""
