Name#0,"""反射神經戰士"""
MikiriStart#0,"""/toge 就是現在快押<%Access>！"""
MikiriSuccessHiscore#0,"""已經來了......更新了最高紀錄唷!難易度:$(0)<br>您的時間：$(2)秒$(1)"""
MikiriSuccess#0,"""輸了......。<br>難易度：$(0)<br>您的時間：$(2)秒$(1)"""
MikiriFailed#0,"""你還真是慢啊！<br>難易度：$(0)<br>機器的時間：$(2)秒$(1)"""
MikiriBreakaway#0,"""/moya 這是使用方法喔。<br>如果出現『就是現在快押<%Access>！』就按下去喔！"""
MikiriRecord#0,"""顯示最高紀錄。<br>現在的最佳時間：$(2)秒$(0)<br>現在的紀錄保持者：$(1)"""
MikiriRecordNone#0,"""現在尚未有最高分數紀錄。"""
MikiriEasy#0,"""簡單模式"""
MikiriNormal#0,"""普通模式"""
MikiriHard#0,"""困難模式"""
MikiriHiScore#0,"""高分模式"""
