IncidentName#0,"""擊敗$(0)"""
TrialBeginMsg#0,"""擊敗$(0)！<br>只要$(1)無法戰鬥2次即告失敗。"""
TrialAbstract#0,"""擊敗$(0)！<br>只要$(1)無法戰鬥2次即告失敗。"""
NpcComOnBegin#0,"""附近有ARKS正在交戰！<br>火速與對方會合，互相協助<br>擊退附近一帶的敵人！"""
NpcComOnSuccess#0,"""/face2 辛苦了！<br>我認為你們配合得很好！"""
NpcComOnFailure#0,"""/face4 雖然遺憾，但也是沒辦法的。<br>前來救援的ARKS由我這邊<br>進行回收。"""
NpcComOnDownA#0,"""你們合作得似乎並不順利。<br>不要忘了必須互相協助。"""
NpcComOnDownB#0,"""對方承受了相當大<br>的負擔。下次失敗時<br>我必須建議對方撤退。"""
NpcComOnDownPB#0,"""$(0)<br>承受了極大的負荷。<br>下次無法戰鬥時必須強制回收。"""
NpcComOnBeginP1#0,"""$(0)的<br>輔助同伴<br>遭到敵人襲擊了！"""
NpcComOnBeginP2#0,"""請消滅周圍的敵人<br>以確保安全。"""
NpcComOnFailureP#0,"""/face4 雖然遺憾，但也無可奈何。<br>$(0)會由<br>我這邊來回收，使其返回據點。"""
NpcComOnBegin#1,"""交戦中のアークスの反応を付近に捕捉。<br>合流し、協力して、周囲の敵性存在を<br>撃退してください。"""
NpcComOnSuccess#1,"""敵性勢力の全滅を確認。<br>協力での任務遂行、見事です。"""
NpcComOnFailure#1,"""任務失敗を確認。<br>対象のアークスを回収します。"""
NpcComOnDownA#1,"""協力が不十分かと。<br>互いの存在を意識して<br>任務にあたってください。"""
NpcComOnDownB#1,"""対象のアークスの負担が大きく<br>危険な状態です。次の失敗時には<br>強制撤退となります。"""
NpcComOnDownPB#1,"""$(0)の負荷<br>限界域。次の戦闘不能時に<br>強制回収を実行します。"""
NpcComOnBeginP1#1,"""$(0)の<br>サポートパートナーが<br>敵性存在の襲撃を受けています。"""
NpcComOnBeginP2#1,"""周囲の敵性存在を排除し<br>安全の確保を。"""
NpcComOnFailureP#1,"""限界です。<br>$(0)を<br>強制回収します。"""
NpcComOnBegin#2,"""<%me>さん！<br>近くで交戦中のアークスがいます！<br>合流の後、協力して敵性存在の撃退を！"""
NpcComOnSuccess#2,"""お疲れさまでした！<br>突然の共闘でしたが<br>上手く連携できてましたね！"""
NpcComOnFailure#2,"""対象のアークスはこちらで回収します！<br><%me>さんは<br>残存している敵性存在の撃退を！"""
NpcComOnDownA#2,"""協力中のアークスの負担が大きいです！<br>上手くフォローしてあげてください！"""
NpcComOnDownB#2,"""協力中のアークスへの負担が大きく<br>危険なため、次の戦闘不能時には<br>強制的に対象者を回収します！"""
NpcComOnDownPB#2,"""$(0)の負荷が<br>かなり大きいです。次の戦闘不能時には<br>強制的に回収させてもらいますね！"""
NpcComOnBeginP1#2,"""$(0)さんの<br>サポートパートナーが襲われています！<br>援護してあげてください！"""
NpcComOnBeginP2#2,"""周囲のエネミーを撃退し、安全確保！<br>よろしくお願いします！"""
NpcComOnFailureP#2,"""うーん、これ以上は危ないですね……<br>$(0)は<br>こちらで回収します。"""
