st_013420_0001#0,"""A.P.238/4/9/11:30"""
st_013420_0010#0,"""呼哈，這樣算告一段落吧？<br>這邊應該是中間休息點了。"""
st_013420_0020#0,"""不過，居然在之前與那麼多黑暗種<br>大戰過的行星舉辦戰技大會，<br>真是過人的判斷啊。"""
st_013420_0030#0,"""或許是想要順便抹去<br>對這裡的恐懼，<br>或者說是不安感吧。"""
st_013420_0040#0,"""就像是我很早之前<br>拜託搭檔你的委託那樣。"""
st_013420_0050#0,"""不過呢，該怎麼說。<br>雖然確實沒有那麼嚴重的危險感，<br>但就是覺得很不安......"""
st_013420_0060#0,"""不，也不只是不安。<br>這該怎麼說，有點懷念<br>又有點畏懼......啊啊，搞不清楚啦！"""
st_013420_0070#0,"""哈－－哈哈哈！<br>各位參賽者，辛苦咯！<br>大家玩得夠開心吧！"""
st_013420_0080#0,"""喂，修伊......修伊！<br>這個我也要參加啦！<br>我不能參加喔！"""
st_013420_0090#0,"""你可是大會執行端耶......<br>咳咳......我們回到正題<br>報告一下中途經過！"""
st_013420_0100#0,"""......目前成績最佳者是<br>遊俠亞方以及<br><%me>的搭檔！"""
st_013420_0110#0,"""這個名字好像聽過......<br>又好像沒聽過......"""
st_013420_0120#0,"""年輕世代ARKS的抬頭，<br>就前輩而言很值得高興！<br>很好很好，加油！"""
st_013420_0122#0,"""接下來介紹獵人歐薩，<br>以及他的搭檔法師瑪露！"""
st_013420_0124#0,"""連傳聞甚囂塵上的包打聽姐妹<br>也準備下場一搏了！"""
st_013420_0126#0,"""那是誰？"""
st_013420_0140#0,"""話說回來，各位的成績非常接近！<br>形成激烈的拉鋸戰！<br>暫居首位的隨時可能會被拉下馬！"""
st_013420_0150#0,"""我說修伊啊。<br>照著劇本唸......<br>幹嘛哩？　這樣有趣麼？"""
st_013420_0160#0,"""好，接下來的後半場戰鬥<br>期待各位繼續創造佳績！<br>以上！"""
st_013420_0170#0,"""......聽好，克拉莉絲克蕾絲。<br>成長，是很令人悲哀的一件事啊。<br>所以偶爾需要做點小弊。"""
st_013420_0175#0,"""總之，至少參賽者的資料<br>你得先看過一遍。"""
st_013420_0180#0,"""嗯嗯......<br>領先是不錯......但這股不舒服感<br>讓我很在意，無法集中啊。"""
st_013420_0190#0,"""這到底是什麼呢。<br>搭檔，你沒有這種感覺麼？<br>難道說只有我麼？　嗯......"""
