un_044040_0010#0,"""哎呀，哎呀哎呀哎呀？<br>看來又來了個稀奇古怪的人呢。"""
un_044040_0020#0,"""<%me>可真是的<br>一直都在增加又棒又奇妙的朋友<br>讓我好羨慕呢。"""
un_044040_0030#0,"""能不能也稍微分一點給莉莎我呀？<br>畢竟他看上去，手感應該會很棒很奇妙的<br>所以我特別特別想射一射他呢。"""
un_044040_0040#0,"""喂、喂，<%me>。<br>這人誰啊？"""
un_044040_0050#0,"""莉莎就是莉莎哦。<br>你好呀。"""
un_044040_0060#0,"""哦、哦哦。<br>我叫炎雅，你好。"""
un_044040_0070#0,"""呵呵呵呵呵。你在警戒我呀。<br>別擔心啦，莉莎我什麼都不會做的。"""
un_044040_0080#0,"""話說回來<br>你應該是射槍的吧？<br>而且還是偏向於狙擊手那類的，對不對？"""
un_044040_0090#0,"""……你為什麼會這麼覺得啊？"""
un_044040_0100#0,"""因為你剛才警戒莉莎，在一瞬間僵住的時候<br>最先發力的是腳部哦？<br>你是想拉開距離吧？"""
un_044040_0110#0,"""不過，兩隻胳膊卻並沒有什麼動作。<br>這也就是說，你並不是要掏槍<br>而是要憑空創造出槍來，是不是呀？"""
un_044040_0120#0,"""……只是跟你握了握手<br>你就連這都能看穿？"""
un_044040_0130#0,"""呵呵呵。狙擊手不可或缺的就是洞察力。<br>畢竟在戰場上，最為重要的能力<br>就是不放過任何的奇怪之處嘛。"""
un_044040_0140#0,"""哈，這可不好這可不好。<br>難得見到個和我臭味相股之人<br>實在太高興，一不小心就都給說出來了。"""
un_044040_0150#0,"""那麼，莉莎我就先告辭啦。<br>我還想再去更多更多地射殺射殺再射殺<br>地球上的神奇幻創種呢。"""
un_044040_0160#0,"""它們的手感也輕飄飄的，又奇怪又惡心<br>簡直讓人簡直爽到不行呢。<br>呵呵，呵呵呵呵呵。"""
un_044040_0170#0,"""……我說啊，難不成這ARKS<br>都是些性格越古怪能力越強的傢伙嗎？"""
