Begin#0,"""開始5008"""
Success#0,"""成功5008"""
Failure#0,"""失敗5008"""
Dead#0,"""自己死亡5008"""
BuddyDead#0,"""對手死亡5008"""
Evolution#0,"""連線5008"""
Begin#1,"""/mn1 /ci1 1 那個，莉莎。<br>敵人被殺氣引誘，跑出來囉……"""
Success#1,"""/mn19 /ci1 1 那個，莉莎。<br>妳好像說妳在找蛋糕屋對吧……"""
Failure#1,"""/mn2 /ci4 1 對，對不起。<br>讓我撤退吧！"""
Dead#1,"""/ci4 1 嗚嗚……我只是在找蛋糕屋而已<br>為什麼要遭遇到這種事……"""
BuddyDead#1,"""/mn20 /ci2 1 那個，莉莎。<br>說是休息會不會太破爛了？"""
Evolution#1,"""/ci1 1 我的話還是希望<br>蛋糕屋能夠早點出現啦……"""
Begin#2,"""/ci1 1 あ、どうも。<br>いてもたってもいられなくて<br>リサさんについてきちゃいました。"""
Success#2,"""/ci2 1 そうです、ここは私達に任せて<br>あなたは先に進んでください！"""
Failure#2,"""リサさん！<br>すみません、帰還します！<br>マトイさんのこと、頼みました！"""
Dead#2,"""うう……これ以上はきついです……"""
BuddyDead#2,"""わわわ、リサさんが<br>怒っちゃったかも……"""
Begin#3,"""/ci1 1 私も加勢しますよー！<br>まとめてやっちゃいましょう！"""
Success#3,"""/ci2 1 私たちはここで陽動を続けます！<br>シバはとても手強いですけど<br>あなたたちならきっと大丈夫です！"""
Failure#3,"""/mn2 /ci4 1 リリーパの子たちのためにも<br>頑張らなきゃいけなかったのに……<br>悔しいです……"""
Dead#3,"""/ci4 1 ごめんなさい……<br>動けなくなってしまいました……<br>離脱します……"""
BuddyDead#3,"""/ci1 4 メルランディアさん……！<br>はい、任せてください！"""
