Begin#0,"""/ci2 1 瑪露開始"""
Success#0,"""/mn1 /ci2 2 瑪露成功"""
Failure#0,"""/mn1 /ci2 2 瑪露失敗"""
Dead#0,"""/mn1 /ci2 2 瑪露死亡"""
BuddyDead#0,"""/mn1 /ci2 2 瑪露對象死亡"""
Evolution#0,"""/mn1 /ci2 2 瑪露發展"""
Begin#1,"""/mn13 /ci3 1 ……那是我的台詞吧。<br>只是在找蛋糕屋而已真……麻煩。"""
Success#1,"""/ci1 1 ……那種事隨便我吧。<br>我原本是在找蛋糕屋的哦。<br>……那麼就這樣。"""
Failure#1,"""/ci1 2 ……下次會，做得更好的。"""
Dead#1,"""/ci4 1 ……不、不行啊。<br>蛋糕，好想要啊……"""
BuddyDead#1,"""/ci3 1 ……自作自受呢。<br>但是，我肯定也很不足。"""
Evolution#1,"""/mn22 /ci1 1 ……同感。<br>變得比想像中的還要麻煩了呢。"""
Begin#2,"""/ci1 1 ……貴方にはお節介かもしれない。<br>けど、私達だって、力になりたいの。"""
Success#2,"""/ci1 2 ……先で何が待ってるかは<br>わからない、けど忘れないで。<br>貴方はひとりじゃない。"""
Failure#2,"""……ごめんなさい……<br>また迷惑をかけてしまったわ……"""
Dead#2,"""……また、迷惑かけちゃった。"""
BuddyDead#2,"""……オーザ！"""
