un_051020_0010#0,"""初代克拉莉絲克蕾絲……<br>在我之前的，伝説中的三英雄……"""
un_051020_0020#0,"""也不能這麼說，還沒有到傳說的地步呢。<br>最多也只是四、五十年前的事吧。"""
un_051020_0030#0,"""我只是比較會耍小聰明罷了<br>如果說是ARKS的強弱的話<br>還是二代目醬比較強，完全在我之上。"""
un_051020_0040#0,"""而且，嚴格的講<br>我也不是克拉莉絲克蕾絲。"""
un_051020_0050#0,"""不是克拉莉絲克蕾絲？"""
un_051020_0060#0,"""嗯~，說明起來有點麻煩……<br>我身體里存在著的光子的名字是<br>克拉莉絲克蕾絲呢。"""
un_051020_0070#0,"""欸？　欸？"""
un_051020_0080#0,"""啊ー，這樣說也很難理解啊……<br>嗯ー……啊！\u3000對了，是這樣的！<br>其實我是雙重人格呦。"""
un_051020_0090#0,"""雙重……人格？"""
un_051020_0100#0,"""我啊，因為身體不好總是在睡覺。<br>因為很無聊就總是和體內的<br>光子說話呢。"""
un_051020_0110#0,"""時間長了，就啪一嘰的<br>擁有了人格。<br>一開始我也嚇了一跳呢ー。"""
un_051020_0120#0,"""不過，比起我來<br>周圍的人更吃驚呢。<br>那個孩子的說話方式也很粗魯。"""
un_051020_0130#0,"""戦闘的時候，我就不動身體<br>一直是<br>交給了那個孩子來做。"""
un_051020_0140#0,"""那個孩子也幹勁十足的樣子<br>結果就是，被冠上了<br>克拉莉絲克蕾絲這麼個名號。"""
un_051020_0150#0,"""所以說啊，吉君呀<br>麗醬都不會<br>叫我克拉莉絲克蕾絲。"""
un_051020_0160#0,"""雖說我是不太在意叫什麼<br>不過你們兩人的話，還是想讓你們叫我<br>阿魯瑪呢。"""
un_051020_0170#0,"""誒……好的、我明白了。"""
un_051020_0180#0,"""然後呢。<br>順便也不要用敬語了。"""
un_051020_0190#0,"""啊……嗯，知道了。"""
un_051020_0200#0,"""於是，阿魯瑪體內的<br>初代的克拉莉絲克蕾絲<br>現在，在幹什麼呢？"""
un_051020_0210#0,"""現在的這個身體讓給了我之後<br>……消失了。"""
un_051020_0220#0,"""把身體，給讓出來是……？"""
un_051020_0230#0,"""也不是，還是稍微有點不同……？<br>為了失去了身體的我<br>變為了一個新的容器這樣。"""
un_051020_0240#0,"""也就是說，現在的我<br>身體是克拉莉絲克蕾絲<br>內心是阿魯瑪，這種感覺。"""
un_051020_0250#0,"""……克拉莉絲克蕾絲<br>保護了阿魯瑪麼？"""
un_051020_0260#0,"""嗯嗯ー…………<br>我覺得說保護什麼的對於<br>那個孩子來說不是很合適。"""
un_051020_0270#0,"""那個孩子最後說的是<br>「這下就兩清了！」<br>這樣。"""
un_051020_0280#0,"""啊，那麼說起來<br>我現在就是克拉莉絲克蕾絲了。<br>也得習慣一下那個叫法了。"""
