Begin#0,"""/ci2 1 歐薩開始"""
Success#0,"""/mn1 /ci2 2 歐薩成功"""
Failure#0,"""/mn1 /ci2 2 歐薩失敗"""
Dead#0,"""/mn1 /ci2 2 歐薩死亡"""
BuddyDead#0,"""/mn1 /ci2 2 歐薩對象死亡"""
Evolution#0,"""/mn1 /ci2 2 歐薩發展"""
Begin#1,"""/ci1 1 我應該是在找傳說中的蛋糕屋的啊<br>變成這種狀況是……<br>我也，真的很不走運呢。"""
Success#1,"""/mn11 /ci1 2 結束了麼……<br>……嗯？ 喂，你要去哪吶？<br>法師一個人的話很危險哦！"""
Failure#1,"""/ci1 2 對不起，這次就先<br>讓我撤退吧！"""
Dead#1,"""/ci3 1 可惡……還沒，找到<br>蛋糕屋之前怎麼能在這種地方……！"""
BuddyDead#1,"""/ci3 1 切……可惡！<br>如果我有好好保護好的話！"""
Evolution#1,"""/mn22 /ci3 1 切，我只是想要<br>蛋糕才過來的說！"""
Begin#2,"""/toge /ci2 2 <%me>！<br>オレ達も手伝わせてもらう！"""
Success#2,"""/toge /ci1 5 この場はオレ達に任せろ！<br>お前はやることがあるはずだ<br>先に行け！\u3000早く！"""
Failure#2,"""すまん……<br>お前への恩を返せなかった……！"""
Dead#2,"""くそっ……<br>この程度のことで……！"""
BuddyDead#2,"""マールー！"""
