un_012500_0010#0,"""<%me>......<br>那個，有事找我麼？"""
un_012500_0020#0,"""你問我在做什麼麼？<br>如你所見，正在戰鬥。<br>這有什麼問題麼？"""
un_012500_0030#0,"""不要太勉強"""
un_012500_0040#0,"""身體要不要緊？"""
un_012500_0050#0,"""我並沒有勉強。<br>......傷口恢復的也很快，<br>應該說，簡直非常的輕鬆。"""
un_012500_0060#0,"""奇妙的是，<br>狀況還不壞。<br>反而比以前更好。"""
un_012500_0070#0,"""而且，身體即使很痛苦，<br>但我已經是孤家寡人了......<br>更有需要增加實力。"""
un_012500_0080#0,"""是啊，如果從開始就這樣，<br>就不會任何人事物，<br>也不會有痛苦了......"""
un_012500_0090#0,"""都要等到失去了，才會曉得。<br>這也算是善惡到頭終有報吧。"""
un_012500_0100#0,"""......不要太接近我，<br>這樣對你比較好。"""
un_012500_0110#0,"""不。為了你好，<br>我必須重重警告你。"""
un_012500_0120#0,"""不要再接近我。"""
un_012500_0130#0,"""你，會喪命的。"""
