un_044060_0010#0,"""雪拉是做什麼工作的呀？"""
un_044060_0020#0,"""怎、怎麼突然問這個呀，阿有弟弟？"""
un_044060_0030#0,"""<%me>和姐姐他們的工作<br>不是去地球那邊作戰嘛？"""
un_044060_0040#0,"""……這個嘛，我倒是不一定<br>不過<%me>沒準還真是這樣。"""
un_044060_0050#0,"""雪拉你不用過去的嗎？<br>還是說，你的工作就是在這裡講話？"""
un_044060_0060#0,"""嗚嗚，怎麼感覺阿有弟弟講得就好像<br>我一直在這裡聊閒天偷懶一樣……！"""
un_044060_0070#0,"""不是哦"""
un_044060_0080#0,"""不是嗎？"""
un_044060_0090#0,"""幹得漂亮<%me>。<br>你可聽好了哦－－，阿有弟弟。<br>我可是有著我自己的工作的－－"""
un_044060_0100#0,"""喂喂<%me>！<br>阿有弟弟可是會信以為真的<br>您倒是好好幫我打一下圓場啊！"""
un_044060_0110#0,"""阿有弟弟呀，你聽我說哦。<br>我呢，是有著只有我能完成的工作的－－"""
un_044060_0120#0,"""雪拉的工作？"""
un_044060_0130#0,"""我正式的頭銜<br>是用於演算特化管理的高級機器人。<br>主要的工作，是負責ARKS戰艦的管理與演算。"""
un_044060_0140#0,"""我會負責進行調整，以便讓居住在<br>戰艦上的大家都能過上舒適的生活<br>與此同時呢，也會為各位ARKS們發送情報哦。"""
un_044060_0150#0,"""原來你還在做這種事情呀……<br>我完全沒看出來。"""
un_044060_0160#0,"""雖然總感覺這話裡頭句句帶刺……<br>不過別看這樣，我也是有在努力勤奮工作的啦。<br>恩哼！"""
un_044060_0170#0,"""可就在我們現在聊天的時候<br>應該也有ARKS在出任務吧……<br>你不用支援一下那邊的嗎？"""
un_044060_0180#0,"""哼哼，可別小看了我哦。<br>區區這種程度的並行處理，即便是<br>在聊閒天的同時，也是小菜一碟、輕而易舉的啦。"""
un_044060_0190#0,"""如果只是比管理這部分的演算<br>我可是連夏歐都不輸的。<br>……不過其他領域，倒是會輸得很慘就是了。"""
un_044060_0200#0,"""而且，像這樣與大家一起聊天<br>也算是我工作的一環嘛。"""
un_044060_0210#0,"""過去的管理者……光子族，就完全沒想過<br>要理解人心，一直都把人類當成了棋子一般對待。<br>而最終，這樣的體制遭到了崩潰瓦解。"""
un_044060_0220#0,"""人心有著脆弱易碎的弱點……<br>然而，有時卻又能成為光芒四射的強力武器。"""
un_044060_0230#0,"""我雖為一名管理者，卻也同時是個擁有著心的人。<br>我不光想為大家提供情報，也想與大家溝通交流<br>以心交心，為大家助上一臂之力。"""
un_044060_0240#0,"""……正因如此，我才要與大家聊閒天！<br>來吧各位，就和我一起<br>聊好多好多沒什麼所謂的話題吧！"""
un_044060_0250#0,"""要是沒最後的那一句<br>明明這收尾收得還不錯。"""
