IncidentName#0,"""給莉莉芭族人的口信"""
TrialBeginMsg#0,"""使用【大廳動作】傳達莉莉芭族人的口信！"""
TrialAbstract#0,"""使用【大廳動作】傳達莉莉芭族人的口信！"""
ToastOnEnableGestureRange#0,"""使用【大廳動作】傳達口信！"""
NpcComOnBegin#0,"""咦？　莉莉芭族人似乎想拜託您<br>代為傳話喔？<br>不知道牠想傳達什麼事......？"""
NpcComOnSuccess#0,"""/face2 口信似乎傳達成功了！<br>呼，這下我們跟莉莉芭族人<br>似乎變成好朋友了呢！"""
NpcComOnFailure#0,"""/face4 啊啊，對方回去了耶？<br>是不是沒有傳達成功呢......<br>沒辦法了，回去執行任務吧"""
NpcComOnDwarfGestureA#0,"""是不是要給同伴的口信？<br>啊，只要照著這個動作做出相同手勢<br>或許就能傳達給對方了！"""
NpcComOnDwarfGestureB#0,"""唔唔？　這個莉莉芭族人好像也<br>有什麼話想傳達的樣子<br>注意牠的手勢吧！"""
NpcComOnAppearDwarfA#0,"""發現莉莉芭族人的同伴了！<br>可是對方看到敵人會害怕，不敢傳話......<br>請確保對方周圍的安全！"""
NpcComOnAppearDwarfB#0,"""發現莉莉芭族人的同伴了！<br>這次沒有敵人了，很安全！<br>好了，趕緊來傳達口信吧！"""
NpcComOnEnableGesture#0,"""好了，來傳達口信吧！<br>以大廳動作做出相同手勢<br>給對方看！"""
NpcComOnDisableGesture#0,"""對方在害怕，沒心情看我們這邊！<br>請先打倒牠周圍的敵人！"""
NpcComOnGestureOK#0,"""/face2 似乎傳達成功了呢！<br>莉莉芭族人也很高興！"""
NpcComOnGestureNG#0,"""奇怪......好像沒能正確<br>傳達給對方耶......<br>試試看別的手勢吧"""
NpcComOnHintKiss#0,"""/face2 看起來好像是在向誰表達愛情呢"""
NpcComOnHintYes#0,"""/face2 看起來好像是在點頭同意某件事呢"""
NpcComOnHintThanks#0,"""/face2 看起來好像是在向某人道謝呢"""
NpcComOnHintSorry#0,"""/face2 看起來好像是在拚命道歉呢"""
NpcComOnHintClap#0,"""/face2 看起來好像是在拍手慶賀呢"""
NpcComOnHintEncourage#0,"""/face2 看起來好像是在說「還好麼？」　鼓勵對方呢"""
NpcComOnHintYell#0,"""/face2 看起來好像是在替某人加油呢"""
NpcComOnHintHeat#0,"""/face2 看起來好像是在替某人打氣呢"""
