Toro_favs_before_010#0,"""請問你，請問你！　多樂貓<br>有東西要<br>交給<%me>喔，喵～。"""
11_voice_NPC_5068_101#0,"""這是你平常陪我玩<br>的謝禮喔喵。"""
Toro_favs_before_030#0,"""給你！<br>請收下，喵。"""
11_voice_NPC_5068_100#0,"""如果以後你常常來找我玩，<br>我會很高興的，喵。"""
Toro_favs_after_020#0,"""那就拜拜囉～。"""
Toro_favs_present_010#0,"""得到多樂貓給予的『合成器』。"""
Toro_favs_present_020#0,"""得到多樂貓給予的『恢復結界』。"""
Toro_favs_present_030#0,"""得到多樂貓給予的『淨化結界』。"""
Toro_favs_present_040#0,"""得到多樂貓給予的『合成器』。"""
Toro_favs_present_050#0,"""得到多樂貓給予的『攻擊結界』。"""
Toro_favs_present_060#0,"""得到多樂貓給予的『防禦結界』。"""
Toro_favs_present_070#0,"""得到多樂貓給予的『合成器』。"""
Toro_favs_present_080#0,"""得到多樂貓給予的『勢・閃耀之槍』。"""
Toro_favs_present_090#0,"""得到了多樂貓給予的『導・暗影追跡』。"""
Toro_favs_present_100#0,"""得到了多樂貓給予的『進化裝置／多樂貓』。"""
Toro_favs_present_add_001#0,"""トロから『<%skit_text>』を受け取りました。"""
Toro_01_010#0,"""午安，我是多樂貓，喵。"""
11_voice_NPC_5068_101#1,"""我和黑樂貓一起<br>跨越空間<br>來到了這個世界，喵。"""
Toro_01_030#0,"""你難道是<br>ARKS的成員，喵？"""
Toro_01_040#0,"""跟你說跟你說喔，多樂貓<br>有事情想拜託你喔，喵～。"""
Toro_01_050#0,"""可以的話，<br>請你聽我說說話，喵！"""
Toro_02_010#0,"""ARKS的成員們都很強，<br>而且也很帥氣，喵！"""
Toro_02_020#0,"""多樂貓也很想變得<br>那麼帥氣，喵～！"""
