ar_or010300#0,"""No.1<br>強恩的委託<br>完成「必看！道具管理法！」"""
ar_or010301#0,"""No.2<br>強恩的委託<br>完成「必讀！通訊裝置的用法！」"""
ar_or010302#0,"""No.3<br>強恩的委託<br>完成「便利！自動訊息活用法！」"""
ar_or010303#0,"""No.4<br>強恩的委託<br>完成「AC商店的陳列真讓人垂涎三尺！」"""
ar_or010304#0,"""No.5<br>強恩的委託<br>完成「 鼓勵的傳送方法！」"""
ar_or010305#0,"""No.6<br>強恩的委託<br>完成「FUN轉蛋的使用方法！」"""
ar_or010306#0,"""No.7<br>強恩的委託<br>完成「 ARKS名片的編輯方法！」"""
ar_or010300#1,"""必看！道具管理法！"""
ar_or010301#1,"""必讀！通訊裝置的用法！"""
ar_or010302#1,"""便利！自動訊息活用法！"""
ar_or010303#1,"""AC商店的陳列真讓人垂涎三尺！"""
ar_or010304#1,"""鼓勵的傳送方法！"""
ar_or010305#1,"""FUN轉蛋的使用方法！"""
ar_or010306#1,"""ARKS名片的編輯方法！"""
