un_025120_0010#0,"""哎呀哎呀你好你好。<br>很有精神啊，真好。<br>有精神比什麼都好。"""
un_025120_0020#0,"""ARKS現在正處於變革之中<br>今後也會變得非常艱難。<br>請保重身體啊？"""
un_025120_0030#0,"""過去的事啦祕密的事啦<br>各種各樣的很多的<br>都會浮出水面啦。"""
un_025120_0040#0,"""比如……是啊。<br>能聽我說一個故事嗎？"""
un_025120_0050#0,"""很久很久以前、在某個<br>地方有個生來身體就<br>非常虛弱的嬰兒。"""
un_025120_0060#0,"""是啊……<br>名字假設就是莉莎吧？"""
un_025120_0070#0,"""莉莎呢、雖然處理光子<br>的力量驚人、但身體<br>卻完全跟不上。"""
un_025120_0080#0,"""這對於ARKS來說<br>實在是太可惜了。"""
un_025120_0090#0,"""明明有才能卻不能使用<br>這種事絕對不允許。"""
un_025120_0100#0,"""……所以第二天、莉莎呢<br>就變成了機械人。<br>一天內當機立斷大變身，就是這樣！"""
un_025120_0110#0,"""得到了強韌的身體<br>完全發揮持有的才能，對吧。"""
un_025120_0120#0,"""但這身體裏面還有莉莎的意志嗎。<br>這種事，莉莎不知道。"""
un_025120_0130#0,"""大家、在成爲機械人之前<br>都不知道自己<br>到底是什麼。"""
un_025120_0140#0,"""儘管如此，<br>正因爲大家齊心協力<br>才有了現在的時代。"""
un_025120_0150#0,"""這樣的境遇是幸福<br>還是不幸、歸根結底<br>只能由本人決定。"""
un_025120_0160#0,"""所以，莉莎總是說。<br>不享受生活就是損失啊。<br>呵呵、呵呵呵呵。"""
un_025120_0170#0,"""那麼那麼、那麼再見。"""
