IncidentName#0,"""擊敗$(0)"""
TrialBeginMsg#0,"""緊急指令！<br>$(0)！"""
TrialAbstract#0,"""偵測到強大的敵方<br>$(0)！"""
NpcComOnPreBegin#0,"""存在反應闖入戰場！<br>推測與目前交戰中的敵人為相同物種！"""
NpcComOnBegin#0,"""緊急通知。<br>發現強大的敵方存在<br>請火速加以擊潰。"""
NpcComOnSuccess#0,"""/face2 已將周圍的強大的敵方存在<br>全數擊退！<br>辛苦了！"""
NpcComOnFailure#0,"""/face4 作戰失敗。<br>所有人員請回到平時任務。"""
NpcComOnPreBegin#1,"""強大的敵意反應正在接近。<br>與交戰中的敵人似乎是同一種族。"""
NpcComOnBegin#1,"""緊急通知。<br>發現強大的敵方存在。<br>請火速加以擊潰。"""
NpcComOnSuccess#1,"""附近一帶的敵方存在<br>大致上應該都解決了。<br>辛苦了。"""
NpcComOnFailure#1,"""/face6 ......失敗了麼。<br>所有人員回到平時任務。"""
NpcComOnPreBegin#2,"""傳來了看似相當強大的反應！<br>跟目前交戰的敵人應該是同一物種？"""
NpcComOnBegin#2,"""緊急通知！<br>發現強大的敵人反應！<br>請盡快將它擊潰！"""
NpcComOnSuccess#2,"""/face2 呼，這樣就告一段落了！<br>太好了！"""
NpcComOnFailure#2,"""/face6 嗚，失敗了呢......<br>請回到平時任務吧。"""
NpcComOnPreBegin#3,"""交戦中の種と同質の反応を持つ<br>強力な敵性反応が接近中。"""
NpcComOnBegin#3,"""緊急通達。<br>強力な敵性反応が出現。<br>早急に撃破を。"""
NpcComOnSuccess#3,"""周囲の敵性反応、消失。<br>見事な対応です。"""
NpcComOnFailure#3,"""緊急任務の失敗を確認。<br>通常任務へ戻ってください。"""
NpcComOnPreBegin#4,"""強力な敵性反応を感知！<br>交戦中のものと同種ですね、これ。<br>敵の増援かもしれません。"""
NpcComOnBegin#4,"""緊急通達！<br>敵性存在の増援を確認しました！<br>あわせて撃破しちゃいましょう！"""
NpcComOnSuccess#4,"""周辺の敵性存在、反応消失！<br>お疲れさまでした！"""
NpcComOnFailure#4,"""流石に厳しいですよね……<br>気を取り直して<br>通常任務に戻りましょう。"""
NpcComOnPreBegin#5,"""強力な敵性反応を感知！<br>交戦中のものと同種ですね、これ。<br>敵の増援かもしれません。"""
NpcComOnBegin#5,"""緊急通達！<br>敵性存在の増援を確認しました！<br>あわせて撃破しちゃいましょう！"""
NpcComOnSuccess#5,"""周辺の敵性存在、反応消失！<br>お疲れさまでした！"""
NpcComOnFailure#5,"""流石に厳しいですよね……<br>気を取り直して<br>通常任務に戻りましょう。"""
