11_voice_NPC_5001_101#0,"""嗨，<%me><br>你又來見我啦？<br>哎呀，受歡迎的人真是辛苦啊。"""
Zeno_favs_before_020#0,"""對了，我得到了這個東西，<br>不介意的話就請你收下吧。"""
Zeno_favs_before_030#0,"""因為這個東西<br>對我來說是個困擾。"""
Zeno_favs_after_010#0,"""謝禮？　不用了啦。<br>我平常<br>時常受你的照顧耶。"""
Zeno_favs_after_020#0,"""就把這當作是<br>你平常照顧我的感謝吧。"""
Zeno_favs_present_010#0,"""得到傑諾給予的『合成器』。"""
Zeno_favs_present_020#0,"""得到傑諾給予的『スタンコンサイド』。"""
Zeno_favs_present_030#0,"""得到傑諾給予的『氣絕震擊』。"""
Zeno_favs_present_040#0,"""得到傑諾給予的『クルーエルスロー』。"""
Zeno_favs_present_050#0,"""得到傑諾給予的『音速劍擊』。"""
Zeno_favs_present_060#0,"""得到傑諾給予的『氣絕震擊』。"""
Zeno_favs_present_070#0,"""得到傑諾給予的『ツイスターフォール』。"""
Zeno_favs_present_080#0,"""得到傑諾給予的『氣絕震擊』。"""
Zeno_favs_present_090#0,"""得到傑諾給予的『爆星橫斬』。"""
Zeno_favs_present_100#0,"""得到傑諾給予的『氣絕震擊』。"""
favs_present_add_001#0,"""得到傑諾給予的『<%skit_text>』。"""
11_voice_NPC_5001_100#0,"""我想給你一個建議。<br>凡事都不要太拼喔。<br>好好享受一切就是快樂，菜鳥。"""
11_voice_NPC_5001_100#1,"""覺得狀況不妙就趕快撤退。<br>這也是身為ARKS的必要能力喔。"""
11_voice_NPC_5001_109#0,"""接下來是...啊，還有，<br>雷吉亞斯爺爺委託了一件事...<br>唉，我不該隨便答應的。"""
11_voice_NPC_5001_100#2,"""休息也是很重要的喔。<br>如果一直戰鬥或接任務<br>心理會比身體還累喔。"""
11_voice_NPC_5001_101#1,"""要不要加入公會呀？<br>不體驗看看是不會懂<br>背後有人支援的感覺的。"""
11_voice_NPC_5001_100#3,"""ARKS也是人啊。<br>偶爾放鬆一下也很不錯喔。<br> 該認真的時候再認真就好了。"""
11_voice_NPC_5001_101#2,"""委託只會交給有能力的人。<br>那是這個世界的法則"""
Zeno_07_020#0,"""你想說什麼？<br>想放鬆一下時<br> 適度的偷懶也無妨喔。"""
11_voice_NPC_5001_100#4,"""要不要試用各種不同的武器？<br>要親身嘗試看看<br>才會知道自己適合什麼武器"""
11_voice_NPC_5001_101#3,"""人真的要靠經驗才能成長。<br>你真的是<br>氣勢非凡喔。"""
11_voice_NPC_5001_100#5,"""心裡有煩惱時，最好不要想太多<br>努力往前衝就對了。"""
Zeno_10_020#0,"""反正不管怎麼選都會後悔。<br>既然如此，就選一個讓自己最高興的選項吧。<br>你不這麼覺得麼？"""
11_voice_NPC_5001_104#0,"""......<%me><br>不要只顧著戰鬥喔。<br>那樣會很空虛的。"""
