IncidentName#0,"""莉莉芭族的尋寶"""
TrialBeginMsg#0,"""拾荒地點巡迴<br>莉莉芭族人！"""
TrialAbstract#0,"""拾荒地點巡迴<br>莉莉芭族人！"""
NpcComOnBegin#0,"""現在出現的莉莉芭族......<br>似乎正在尋找什麼東西呢。"""
NpcComOnBeginNext#0,"""原來如此......看來莉莉芭族<br>似乎正在尋找寶藏呢。<br>請你盡可能保護他們。"""
NpcComOnSuccess#0,"""他們似乎已經找到要找的寶物了呢。<br>已經不必再保護他們了吧。<br>請回去執行平時任務吧。"""
NpcComOnFailure#0,"""莉莉芭族，應該不要緊吧......<br>告辭了。很遺憾，護衛任務失敗了。<br>請回到平時任務。"""
NpcComOnFindPlayer#0,"""看來，那裡就是莉莉芭族<br>想前往的目標地點吧。"""
NpcComOnFindLilipa#0,"""莉莉芭族似乎已經<br>找到目標地點了。"""
NpcComOnArrivalFirst#0,"""莉莉芭族已經抵達目標地點了。<br>不曉得敵人會從什麼方向攻過來<br>保護他們時，請提高警覺。"""
NpcComOnArrivalNext#0,"""莉莉芭族再度開始挖掘了。<br>他們到底在找些什麼呢......？<br>告辭了。請繼續保持警戒。"""
NpcComOnArrivalFinal#0,"""看來這裡就是最後的地點了吧。<br>千萬別大意，一定要徹底保護莉莉芭族<br>好好保護他們吧。"""
NpcComOnSearchFailure#0,"""看來他們在這個目標地點<br>並未找到他們想找的寶物呢。"""
NpcComOnJoin#0,"""莉莉芭族正在挖掘寶物和遺物，<br>而我則是正在保護他們。<br>希望你能協助我。"""
NpcComOnBegin#1,"""莉莉芭族......<br>似乎正在尋找什麼東西呢。"""
NpcComOnBeginNext#1,"""莉莉芭族似乎想從破銅爛鐵中<br>挖掘出寶物的樣子。<br>你要盡可能保護他們。"""
NpcComOnSuccess#1,"""他們似乎已經找到要找的東西了呢。<br>已經不必再保護他們了吧。<br>回去執行平時任務吧。"""
NpcComOnFailure#1,"""護衛任務失敗了。<br>唉，這種情況也是難免的。<br>回歸正常任務。"""
NpcComOnFindPlayer#1,"""莉莉芭族一直在尋找的地方<br>看來就是那裡。"""
NpcComOnFindLilipa#1,"""莉莉芭族似乎已經<br>似乎找到了。"""
NpcComOnArrivalFirst#1,"""莉莉芭族正在專心挖掘當中。<br>......這種時候最容易出事。<br>提高警覺，千萬不可大意。"""
NpcComOnArrivalNext#1,"""莉莉芭族似乎又開始挖掘了。<br>......狀況跟剛才一樣。<br>注意四周是否有敵人出現。"""
NpcComOnArrivalFinal#1,"""看來這裡就是最後的地點了。<br>直到最後都不可鬆懈哦。"""
NpcComOnSearchFailure#1,"""嗯......看來他們要找的東西<br>在這裡還是沒找到呢。"""
NpcComOnJoin#1,"""莉莉芭族正在挖掘遺物，<br>而我則是在保護他們。<br>你要盡可能協助他們。"""
NpcComOnBegin#2,"""哎呀呀？　那是莉莉芭族吧？<br>好像在尋找什麼東西似的......"""
NpcComOnBeginNext#2,"""嗯～，看來他們似乎想從破銅爛鐵裡<br>找出些什麼寶物似的。<br>可以麻煩你盡可能保護他們麼？"""
NpcComOnSuccess#2,"""/face2 成功了！　似乎順利找到寶物了<br>應該是這樣沒錯！　辛苦了！"""
NpcComOnFailure#2,"""/face4 請以文字告知莉莉芭族人無法行動，<br>護衛失敗。<br>最後要求玩家回到平常任務。"""
NpcComOnFindPlayer#2,"""請以文字告知玩家搶先莉莉芭族人發現了<br>拾荒地點。<br>請以文字告知將會顯示出標記。"""
NpcComOnFindLilipa#2,"""請以文字告知莉莉芭族人發現了<br>拾荒地點。<br>請以文字告知將會顯示出標記。"""
NpcComOnArrivalFirst#2,"""請告知玩家莉莉芭族人開始尋找寶藏了。<br>提醒玩家注意並專心護衛。<br>告知玩家莉莉芭族人有件事要委託我方。"""
NpcComOnArrivalNext#2,"""請告知玩家莉莉芭族人開始尋找寶藏了。<br>告訴玩家希望這次能找到寶藏。<br>告知玩家莉莉芭族人有件事要委託我方。"""
NpcComOnArrivalFinal#2,"""請告知玩家莉莉芭族人開始尋找寶藏了。<br>告知玩家這是最後一個地點，要求玩家加把勁。<br>告知玩家莉莉芭族人有件事要委託我方。"""
NpcComOnSearchFailure#2,"""看來這個地點落空了。<br>他們似乎要出發前往下一個場所了呢～。"""
NpcComOnJoin#2,"""現在正在執行莉莉芭族的護衛任務！<br>可以的話請與我們會合<br>一起參加任務喔！"""
OnFun#0,"""里！里！"""
OnFind#0,"""/mn38  里里！"""
OnDrop#0,"""里里！？"""
OnDamage#0,"""/mn2 里里......"""
OnMove#0,"""/mn17 里里里！　里里里！"""
OnSuccess#0,"""/ci2 1 /mn38 里里！　里里里！"""
OnDie#0,"""里......里里里......"""
