name01#0,"""賈斯帕"""
text00#0,"""嗯，做得很好啊。<br>向你致上感謝。"""
text01#0,"""這做得很好。<br>下次也讓我再麻煩你。"""
text02#0,"""嗯，做得好。<br>誠心的感謝你。"""
text03#0,"""能幫我拿過來真是太好了。<br>向你致上感謝。"""
text04#0,"""哦哦，做好啦。<br>做得真好，感謝你。"""
text05#0,"""嗯，做得很好。<br>向你致上感謝。"""
text06#0,"""真不錯的作品。<br>真的非常感謝你。"""
text07#0,"""確實收到了。<br>向你致上感謝。"""
text08#0,"""手藝真好呢。<br>真的非常感謝。"""
text09#0,"""真不錯的作品。<br>非常感謝。下次也拜託了。"""
text00#1,"""真是做得很好。<br>致上最大的謝意。"""
text01#1,"""真是做得很好。<br>下次也拜託啦。"""
text02#1,"""嗯，真是極上的成品。<br>道不盡的感謝。"""
text03#1,"""絕佳的作品啊。<br>我期待你有更好的表現。"""
text04#1,"""這就是所謂無法言喻的好技術啊。<br>真的太棒了。<br>送上感謝。"""
text05#1,"""看得出來是傾盡心力的作品呢。<br>說不盡的感謝。<br>謝謝你囉。"""
text06#1,"""看得出來是傾盡心力的作品呢。<br>真的是非常感謝。"""
text07#1,"""珠玉般的逸品就是指這個啊。<br>可說是非常厲害。<br>真的非常感謝。"""
text08#1,"""哦哦，這真的是絕品。<br>感謝你付出這麼多心力。"""
text09#1,"""真的是很厲害的技術。<br>珠玉般的逸品就是指這個啊。<br>說不盡的感謝，謝謝你了"""
