text01001#0,"""午安！<br>你是ARKS的成員吧？"""
11_voice_NPC_5080_100#0,"""嗯，嗯嗯，合格！"""
text01003#0,"""啊，抱歉抱歉。<br>我的名字叫希伊。"""
text01004#0,"""我也是想請你幫忙。<br>不知道你能不能聽我說說呢？"""
11_voice_NPC_5080_104#0,"""進步是什麼樣的感覺？<br>我會一直等你的！"""
text03001#0,"""芙莉葉的目的<br>所有的任務都完成了！"""
11_voice_NPC_5080_101#0,"""太好了，嗯！<br>都是托你的福喔！"""
text03003#0,"""真的，真的很謝謝你！"""
text03004#0,"""我想用這個東西，<br>代表我小小的感謝......<br>你願意收下麼？"""
text03005#0,"""這是我用愛心製作，而且純淨無雜質的<br>特製巧克力！<br>情人節快樂！"""
11_voice_NPC_5080_100#1,"""呵呵！<br>很期待製作完成啊！"""
11_voice_NPC_5080_100#2,"""情人節<br>對女生來說，<br>真的是很重要的節日耶！"""
text02022#0,"""所以我想拜託你！<br>我需要你的幫助！"""
11_voice_NPC_5080_100#3,"""バレンタインがやってきたー！<br>というわけで、みんなが幸せになる<br>チョコレート作りに挑戦するよ！"""
text02#0,"""もちろん<br>素材もレシピもとことんこだわって<br>最高のものを作るつもりなの！"""
text03#0,"""そんなわけで、いろいろと<br>協力してほしいことがあるんだけど<br>話を聞いてくれると嬉しいな！"""
text01#0,"""今どんな感じかなっ？<br>いつまででも待つからねっ！"""
11_voice_NPC_5080_100#4,"""ふふっ！<br>チョコレートの完成が楽しみだなあ！"""
text01#1,"""バレンタインってさ<br>やっぱり恋している人たちにとっては<br>大事なイベントだからねっ！"""
text02#1,"""だからお願いっ！<br>貴方の協力が必要なのっ！"""
text01#2,"""よーし！<br>すべてカンペキに完了だねっ！"""
text02#2,"""太好了，嗯！<br>都是托你的福喔！"""
11_voice_NPC_5080_100#5,"""イベントで愛情たっぷりの<br>特製チョコレートを配るから<br>楽しみにしてねっ！"""
text04#0,"""本当に、ほんっとーにありがとう！<br>ハッピーバレンタインっ！"""
