11_voice_NPC_03_100#0,"""おっ、何してんだ相棒？<br>へー、あのネコに頼まれごとか。"""
Kuro_01_020#0,"""よくやるなぁ、お前。<br>んで、一体何を頼まれたんだ？"""
Kuro_01_030#0,"""ふーん、カワイコちゃんたちに<br>あのネコの評判をねぇ…<br>で、何でオレの所に来てるんだ？"""
Kuro_01_040#0,"""カワイコちゃん……って<br>おいコラ！<br>オレは正真正銘、男だっつーの！"""
Kuro_01_050#0,"""くっそー！\u3000あのネコ今度見かけたら<br>ぜってー思い知らせてやるからな！<br>覚えてろっ！"""
11_voice_NPC_5003_101#0,"""嗨，兄弟你來得正好。"""
Afin_favs_before_020#0,"""我剛好有東西要交給你。<br>這個給你。"""
Afin_favs_before_030#0,"""這對我沒什麼用處，<br>這對你應該比較有幫助。"""
Afin_favs_after_010#0,"""不用謝我了啦？<br>我們是兄弟不是麼？"""
Afin_favs_after_020#0,"""你平常對我很照顧啊，<br>這點東西不算什麼啦？嘿嘿！"""
Afin_favs_present_010#0,"""得到亞方給予的『合成器』。"""
Afin_favs_present_020#0,"""得到亞方給予的『合成器』。"""
Afin_favs_present_030#0,"""得到亞方給予的『合成器』。"""
Afin_favs_present_040#0,"""得到亞方給予的『單點射擊』。"""
Afin_favs_present_050#0,"""得到亞方給予的『合成器』。"""
Afin_favs_present_060#0,"""得到亞方給予的『合成器』。"""
Afin_favs_present_070#0,"""得到亞方給予的『合成器』。"""
Afin_favs_present_080#0,"""得到亞方給予的『ホーミングエミッション』。"""
Afin_favs_present_090#0,"""得到亞方給予的『合成器』。"""
Afin_favs_present_100#0,"""得到亞方給予的『合成器』。"""
Afin_favs_present_add_001#0,"""得到亞方給予的『<%skit_text>』。"""
11_voice_NPC_5003_101#1,"""哇...這地方好大喔。<br>和我以前住的地方差好多。<br>我以前住的地方也很大就是了。"""
11_voice_NPC_5003_100#0,"""在第一次戰鬥中遇到黑暗種<br>還能平安歸來，我們可能<br>算運氣很好吧？嘿嘿。"""
Afin_02_020#0,"""那個時候真的是無所適從，<br>但凡事都要正面思考。"""
11_voice_NPC_5003_106#0,"""ARKS的生活作息<br>其實和一般人沒什麼不同。<br>我覺得ARKS的作息比一般人還規律。"""
11_voice_NPC_5003_108#0,"""當你經歷還淺時，行動範圍<br>與可前往的行星會受到限制。"""
Afin_04_020#0,"""如果想去各個行星，<br>就要努力表現，<br>讓自己獲得肯定。啊，未來的路還很長啊。"""
11_voice_NPC_5003_104#0,"""ARKS雖然受到大家的尊崇，<br>但這不代表<br>ARKS可以為所欲為。"""
Afin_05_020#0,"""如果做任何事都不顧他人的感受<br>常常還是會<br>受到他人的側目。"""
11_voice_NPC_5003_100#1,"""這裡的設備真棒啊。<br>我好想一直待在這裡喔。<br>...不過有任務就得馬上出動。"""
11_voice_NPC_5003_100#2,"""技能的種類很多。<br>技能的選擇真讓人傷腦筋啊。<br>我學技能都很隨興。"""
Afin_07_020#0,"""不過學會技能後，<br>對自己會很有幫助，<br>所以不用想太多，學就對了。"""
11_voice_NPC_5003_104#1,"""嗯...感覺很普通，<br>沒有什麼特別出色的武器耶。<br>沒有什麼新貨色麼？"""
11_voice_NPC_5003_105#0,"""我的目的是要找人！<br>所以只需要最輕的武器！"""
Afin_09_020#0,"""...結果<br>卻被罵不認真戰鬥。<br>我真的沒有偷懶的意思啊。"""
11_voice_NPC_5003_105#1,"""我們可以變更職業，<br>但是前輩們卻是依據適合度來決定職業的。<br>...為什麼我們的職業可以變更呢？"""
11_voice_NPC_5003_104#2,"""ARKS並非全部都是戰鬥人員，<br>裡面好像也有專門收集情報的公會喔。<br>...我是否也該這樣做呢？"""
11_voice_NPC_5003_104#3,"""嗯，找人真的很難耶，<br>而且也很花時間。<br>乾脆別急，慢慢找好了。"""
11_voice_NPC_5003_109#0,"""最近老是覺得<br>黑暗種會突然出現！<br>是不是我想太多了？"""
11_voice_NPC_5003_101#2,"""完成委託後<br>委託人會很感謝，<br>我也會覺得很開心。嘿嘿。"""
11_voice_NPC_5003_108#1,"""以前有個前輩跟我說，<br>沒有勇氣無妨，<br>只要有沒勇氣的自覺就好了。很失禮耶，對吧。"""
Afin_15_020#0,"""但是最可怕的，是有人明明很膽小，<br>卻誤認為自己很有勇氣。<br>...換句話說，就是有勇無謀吧。"""
11_voice_NPC_5003_105#2,"""我突然覺得很好奇，黑暗種<br>是什麼時候變成我們的敵人的？<br>我對歷史不太熟..."""
11_voice_NPC_5003_104#4,"""ARKS受到大家的景仰，<br>但我沒想到<br>原來ARKS這麼辛苦啊...。"""
11_voice_NPC_5003_100#3,"""ARKS中最了不起的人們...<br>我記得是六芒均衡？　他們是怎樣的人呢？<br>他們聚集在一起的時候很可怕？"""
Afin_18_020#0,"""...但其實他們會在<br>那邊很平常的走動啊。<br>你和他們面見過面了麼？"""
11_voice_NPC_5003_109#1,"""ARKS戰艦被直接攻擊，<br>但大家都不慌張，這真是太不可思議了。<br>他們說被攻擊是稀鬆平常的。"""
Afin_19_020#0,"""......把那當作很平常的事，<br>就代表很多事情<br>已經不正常。"""
11_voice_NPC_5003_104#5,"""我並不是為了<br>保護什麼人<br>才加入ARKS的......"""
Afin_20_020#0,"""果然這裡被攻擊後，<br>就會很自然地想保護這裡。<br>我自己也覺得很不可思議。"""
11_voice_NPC_5003_104#6,"""ダークファルスが復活したからか<br>アークス全体の空気が重いよなぁ。"""
Afin_mb9_020#0,"""まあ、当たり前っちゃ当たり前だけど<br>へこんでばっかいても仕方がないと<br>おれは思うぜ。"""
11_voice_NPC_5003_106#1,"""ウワサの暴走龍ってさ<br>なんか結構数いるみたいだな。"""
Afin_mb10_020#0,"""べらぼーに強いヤツもいるらしいから<br>気をつけた方がいいぜ。"""
11_voice_NPC_5003_104#7,"""まー、戦技大会にせよ何にせよ<br>騒いでうっぷんを晴らすってのは<br>いいことだと思うぜ。"""
Afin_mb11_020#0,"""まわりでも結構参加する人が<br>多いみたいだし……<br>おれはどうしようかなぁ。"""
11_voice_NPC_5003_105#3,"""…………<br>あっ、わ、悪い相棒。<br>ちょっと考え事してた。"""
Afin_mb12_020#0,"""考えても何も解決しないって<br>そんなことわかってるんだけど……<br>おれ、切り替えが下手でさ。"""
11_voice_NPC_5003_105#4,"""…………<br>あっ、わ、悪い相棒。<br>ちょっと考え事してた。"""
Afin_mb13_020#0,"""考えても何も解決しないって<br>そんなことわかってるんだけど……<br>おれ、切り替えが下手でさ。"""
11_voice_NPC_5003_104#8,"""……ああ、相棒。<br>この前の……<br>いや、聞かれても困るよな。悪い。"""
Afin_mb14_020#0,"""悩んでる暇があれば動けって話だよな。<br>……惑星リリーパの採掘場跡。<br>何かありそうな気がするんだ……"""
11_voice_NPC_5003_104#9,"""……ほんと、冗談みたいだよな。<br>生き別れた姉がダークファルスって<br>どうなってんだよ……"""
Afin_mb15_020#0,"""これならまだ、死別ってほうが<br>諦めがつくけど…………"""
Afin_mb15_030#0,"""……いや、生きててくれたんなら<br>なんとかなる。<br>きっと、なんとかなるはずだ。"""
Afin_mb16_010#0,"""……ほんと、冗談みたいだよな。<br>生き別れた姉がダークファルスって<br>どうなってんだよ……"""
11_voice_NPC_5003_105#5,"""これならまだ、死別ってほうが<br>諦めがつくけど…………"""
Afin_mb16_030#0,"""……いや、生きててくれたんなら<br>なんとかなる。<br>きっと、なんとかなるはずだ。"""
11_voice_NPC_5003_104#10,"""……相棒。<br>なんだかえらいことになっちゃったな。"""
Afin_mb16zeno_020#0,"""ほんと、相棒は巻き込まれ型というか<br>物事の中心にいるというか……<br>ちょっと同情するぜ。"""
11_voice_NPC_5003_104#11,"""よう、相棒。<br>おれたちがアークスになってから<br>とんとん拍子で色々変わっちゃったな。"""
Afin_mb18_020#0,"""おれの周りも、どんどん変わってる……<br>頑張らないと、いろいろと。"""
11_voice_NPC_5003_100#4,"""相棒はさ、前向きだよな。<br>物事を変えていく力があるっていうか<br>絶対に諦めないよな。"""
Afin_mb19_020#0,"""おれもガムシャラにそうやって<br>行ければいいんだけどさ。<br>……難しいよな。"""
Afin_mb20_010#0,"""相変わらず忙しそうにしてるなー。<br>こっちはさーっぱり。<br>姉ちゃんの足取りも全然つかめない。"""
11_voice_NPC_5003_104#12,"""採掘基地周辺に姿を見せてるみたいだし<br>そのへん探し回ってるんだけど……<br>まあ、一筋縄ではいかないよな。"""
11_voice_NPC_5003_100#5,"""相棒を見てると、おれも諦めずに<br>頑張ろうって思えるんだ。"""
Afin_mb21_020#0,"""姉ちゃんは採掘基地周辺での<br>目撃が多いらしいんだ。"""
Afin_mb21_030#0,"""相棒はどんな状況でも諦めなかった。<br>おれも、ガムシャラになって<br>姉ちゃんを探せばいいだけだよな。"""
11_voice_NPC_5003_100#6,"""相棒、いろいろありがとうな。<br>諦めなかったおかげで<br>姉ちゃんと会うことはできた。"""
Afin_mb22_020#0,"""考えなきゃいけないことは<br>まだまだたくさんあるけどな。"""
Afin_mb22_030#0,"""ようやくここまで来たんだ。<br>諦めないで頑張るよ。"""
11_voice_NPC_5003_100#7,"""よう、相棒。<br>いろいろ大変だったみたいだな。<br>無事でなによりだぜ。"""
Afin_mb23_020#0,"""おれのほうはどうだって？<br>姉ちゃんとは、相変わらずだ。<br>すぐに逃げられちまう。"""
Afin_mb23_030#0,"""でも、おれは諦めてない。<br>やっと会えたんだしな。"""
11_voice_NPC_5003_100#8,"""相棒、身体の具合はもういいのか？<br>休息が言い渡されてるって聞いてさ<br>心配したんだぜ。"""
