st_065110_0130#0,"""……！<br><%me>的痕迹<br>從世界上消失了……！？"""
st_065110_0135#0,"""誒？<br>突然怎麼了哈莉艾特！<br>守護輝士出了什麼事嗎！？"""
st_065110_0140#0,"""我不知道……<br>不過、應該不會吧……！"""
st_065110_0150#0,"""那個、什麼不會吧。<br>那個笨蛋、只想自己一個人去想辦法解决。"""
st_065110_0155#0,"""誒、誒誒誒誒！<br>哈莉艾特！　哎呀、哎呀！"""
st_065110_0160#0,"""您是……"""
st_065110_0165#0,"""元神大人！"""
st_065110_0170#0,"""我本打算好好睡一覺的<br>沒想到被這傢伙吵醒了。"""
st_065110_0180#0,"""啊……！<br>瓦爾納……！？"""
st_065110_0185#0,"""等一下、你！<br>前幾天剛輸了<br>你又來幹什麼！"""
st_065110_0190#0,"""……事到如今、再怎麼說<br>也沒有意義了。<br>我、只能用行動來表達我的忠義。"""
st_065110_0200#0,"""所以哈莉艾特大人。<br>這個場合交給我、請你去吧。<br>請做自己想做的事。"""
st_065110_0210#0,"""為哈莉艾特大人服務才是<br>我……瓦爾納的目的。"""
st_065110_0220#0,"""……謝謝你、瓦爾納。"""
name01#0,"""初代克拉莉絲克蕾絲"""
name02#0,"""？？？"""
