st_056020_0010#0,"""爲了確認動蕩的國家的情況<br>哈莉艾特王開始了視察公務。"""
st_056020_0020#0,"""前往各地視察公務的哈莉艾特。<br>在她身邊，也有<%me>的身影。"""
st_056020_0030#0,"""在視察快要結束的時候<br>最後前往的地方是，和伊斯＝阿魯斯相鄰的<br>國境線上的路易澤。"""
st_056020_0040#0,"""寬闊的湖以及環繞湖的豐饒的自然。<br>能悠閒度日的，昆特的有名的地方。"""
st_056020_0050#0,"""路易澤的最重要的特徵就在那個湖裏。<br>從山上流下的水和附近火山地質的共同作用下<br>偶爾湖面的顏色會像彩虹一樣變換。"""
st_056020_0060#0,"""晴天的時候，還能看到純白秀麗的昆特城<br>湖水，綠樹，再配上純白的昆特城<br>簡直就是最美的搭配。"""
st_056020_0070#0,"""那美景，說是幻想都不爲過<br>只有無盡的驚訝感嘆。"""
st_056020_0080#0,"""哈…………"""
st_056020_0090#0,"""……這與其說是驚訝的感嘆<br>更像是別的什麼。"""
st_056020_0100#0,"""有那麼擔心麼？"""
st_056020_0110#0,"""有什麼在意的事麼？"""
st_056020_0120#0,"""誒……啊啊，沒有！<br>擔心什麼的<br>是真的，沒有！"""
st_056020_0130#0,"""沒，沒有沒有！<br>我不是休息中麼，在意的事情什麼的<br>怎麼可能有嘛……"""
st_056020_0140#0,"""不那麼緊張也沒事的說<br>也沒打算追問到底的說。<br>不能完全放鬆下來嘛？"""
st_056020_0150#0,"""必須休息什麼的<br>我也是明白的。<br>只不過，我真的……"""
st_056020_0160#0,"""我能做到的事只有<br>不哭泣，不放棄，一心向前<br>把國家……把這個世界變得更好。"""
st_056020_0170#0,"""不逃避王的責任<br>不管受到什麼誹謗，都不被影響<br>朝着應該前往的地方前進。"""
st_056020_0180#0,"""那是和盧瑟的約定？"""
st_056020_0190#0,"""爲什麼承擔這麼多？"""
st_056020_0200#0,"""……因爲那就是我<br>被召喚出來的理由。"""
st_056020_0210#0,"""守護輝士……<br>雖然不知道爲什麼<br>但是看到我和哥哥的過去吧。"""
st_056020_0220#0,"""不然的話，是不會找到<br>研究所的位置的。"""
st_056020_0230#0,"""也就是說<br><%me><br>看到的東西是……"""
st_056020_0240#0,"""所有的事情都是真的。"""
st_056020_0250#0,"""我……不對，哈莉艾特<br>已經，死過一次了。"""
st_056020_0260#0,"""現在的我是<br>有着哈莉艾特身姿的其他的什麼東西。"""
st_056020_0270#0,"""被盧瑟哥哥召喚出來的<br>變成哈莉艾特的東西。"""
name01#0,"""？？？"""
name02#0,"""？？？"""
