un_020290_0010#0,"""來得好來得好，<br><%me>閣下｡<br>看你精神很好，很不錯。"""
un_020290_0020#0,"""你的力量，<br>將會是今後ARKS所必須。"""
un_020290_0030#0,"""努力是好，<br>但也要好好保重。"""
un_020290_0040#0,"""話說，這附近的黑暗種<br>也似乎越來越多了。<br>連你都要出擊，就是最好的證據。"""
un_020290_0050#0,"""我的目的麼？　收集情報啊。<br>若是要展開殲滅作戰，<br>應該會派出克拉莉絲克蕾絲。"""
un_020290_0060#0,"""三英雄也是各司其職。<br>......不怕你誤會，真要說起來，<br>她就像是活生生的炸彈，"""
un_020290_0070#0,"""會不管三七二十一的轟飛，<br>最適合一對多的情況。"""
un_020290_0080#0,"""火力雖高但控制力差，<br>很快就沒電是她的弱點，<br>不過，從性質看也是不得已。"""
un_020290_0090#0,"""我則是完全相反。我重視用度<br>常保高度運作率的戰鬥方式，<br>很適合持久戰或是撤退戰。"""
un_020290_0100#0,"""反過來說，如果一口氣壓上來，<br>以我的能力是一點辦法也沒有。<br>這就是我的弱點。"""
un_020290_0110#0,"""雷吉亞斯嘛......是了。<br>和他正面對上，那就完蛋了。"""
un_020290_0120#0,"""要如何不會正面對上，<br>一邊考慮一邊行動才是正確答案。"""
un_020290_0130#0,"""而如果硬是要舉出弱點的話......<br>他的立場使他無法不顧一切的戰鬥，<br>就這點了。"""
un_020290_0140#0,"""哈哈。這與其說是各司其職，<br>不如說是各有長短吧。"""
un_020290_0150#0,"""最強的是雷吉亞斯。<br>最危險的是克拉莉絲克蕾絲。<br>而最煩人的，是我。"""
un_020290_0160#0,"""所以說<br>收集情報等麻煩的事物<br>才會推到我的頭上來呢。"""
