un_045090_0010#0,"""げっ、<%me><br>本当に帰ってきた……！"""
un_045090_0020#0,"""ほら、そんな感じがしたんですよ。<br>これで信じてくれますか？"""
un_045090_0030#0,"""そんな感じって……<br>あたしには全然わからないんだけど。"""
un_045090_0040#0,"""いやさ、さっきからヴィヴィアンが<br>誰が来るかを怖いぐらい<br>的中させまくっててさ。"""
un_045090_0050#0,"""<%me><br>匂いとかも、特にないよね？"""
un_045090_0060#0,"""そ、そんなんじゃないですって。<br>感覚ですよ、感覚。"""
un_045090_0070#0,"""１．感覚って、どういうこと？"""
un_045090_0080#0,"""２．どういうズルをしたの？"""
un_045090_0090#0,"""どう、って改めて聞かれると<br>難しいんですけども……<br>感じる、としか言いようがなくて。"""
un_045090_0100#0,"""ズルとかじゃないですって！<br>感じるんです！\u3000本当ですよ！"""
un_045090_0110#0,"""そのヒトの、存在感？<br>そこにいるだろうな、っていうのを<br>空気が教えてくれるというか……"""
un_045090_0120#0,"""……じゃあさ、例えば<br><%me>が<br>近づいてくると、どんな感じなの？"""
un_045090_0130#0,"""<%me>さんは<br>そうですね……すごく、大きな感じ？<br>優しく見守ってくれている感じですね。"""
un_045090_0140#0,"""大きな……感じ？<br>見守ってくれている……うーん……"""
un_045090_0150#0,"""…………ダメだ！<br>ぜんっぜん、わからない！"""
un_045090_0160#0,"""そんな焦らなくても<br>きっとエミリアさんもいつか<br>出来るようになりますよ。"""
un_045090_0170#0,"""ちぇっ、誰が来るか事前にわかったら<br>相手によって、身だしなみ整えたり<br>隠れたりとかできて、便利なのにー。"""
un_045090_0180#0,"""……そういうよこしまな考えでは<br>たぶん一生出来るようには<br>ならないと思います。"""
