un_012650_0005#0,"""【因時制地，量力而為！】<br>暫用文字"""
un_012650_0010#0,"""呀呵－－！<br>我是大家期待已久的<br>琶提小姐是也！"""
un_012650_0020#0,"""嘴上講的是期待已久，<br>剛剛卻在主動找人搭話呢。<br>啊，你好，我是提雅。"""
un_012650_0030#0,"""唉呀，黑暗法爾斯<br>居然復活了呢！<br>聽說叫做【巨躯】是吧？"""
un_012650_0040#0,"""因為牠，所有人一片混亂！<br>根本就沒人注意到<br>我們說的話啦！　氣死了！"""
un_012650_0050#0,"""剛剛生氣的樣子雖然很可愛，<br>不過，這也是沒辦法啊。"""
un_012650_0060#0,"""由於高層隱瞞情報之類的傳言<br>讓整個ARKS充滿了<br>緊張的氣氛。"""
un_012650_0070#0,"""就是啊。<br>所以人家才更要振作<br>表現一副開朗的樣子！"""
un_012650_0080#0,"""......我覺得和平常沒兩樣啊。"""
un_012650_0090#0,"""總之，現在講什麼復活啦、<br>隱瞞事實之類的，<br>一點幫助都沒有吧？"""
un_012650_0100#0,"""琶提講的的確有道理，<br>不要讓同樣的事重複發生<br>才是重要的。"""
un_012650_0110#0,"""特別是那隱瞞的事實，<br>我們包打聽姐妹<br>更要好好的查一查咯！"""
un_012650_0120#0,"""如果知道就算隱瞞<br>也立刻會被爆料，應該會馬上<br>把一切公諸於世吧！　對吧對吧！"""
un_012650_0130#0,"""不過這樣做也會有風險......<br>總之，既然自稱是包打聽，<br>這點事情自然要做到。"""
un_012650_0140#0,"""那再見啦，敬請期待<br>琶提老師下次帶來的情報喔！"""
