un_046060_0010#0,"""唔唔唔唔……唔唔唔唔唔……"""
un_046060_0020#0,"""你是哪裡疼麼？"""
un_046060_0030#0,"""你在幹嘛？"""
un_046060_0040#0,"""啊，<%me>。<br>不，我倒不是哪裡疼，也沒有在做什麼……"""
un_046060_0050#0,"""我只是在想，為什麼比起烏魯克總司令<br>我的胸部卻被製作得這麼寒酸。"""
un_046060_0060#0,"""啊，等等！您等一下！<br>我這可是貨真價實的煩惱！<br>是真的有在煩惱哦！"""
un_046060_0070#0,"""我們這群雪拉型號的高級機器人<br>都被一人一艘地委派到了ARKS戰艦上<br>來進行該艘戰艦的管理管制工作。"""
un_046060_0080#0,"""而運行是在兩年前開始的。<br>正好也就是<%me><br>您進入了休眠，剛好錯過的那段時間。"""
un_046060_0090#0,"""我們只被特化了管理管制的能力<br>而在戰鬥能力方面，卻幾乎為零。<br>因此就如字面意義一般，是專門用於管理戰艦的存在。"""
un_046060_0100#0,"""啊，不過順便一提<br>我對此沒有一丁點的不滿哦。<br>畢竟我也挺喜歡管理管制工作的嘛。"""
un_046060_0110#0,"""雖然也有可能，是我的思維被調整為了這副樣子<br>但我確實感覺很幸福，所以沒關係的！"""
un_046060_0120#0,"""不過，接下來我要說的才是重要的內容……<br>我們在形成人格時進行了參考的<br>其實並不是別人，而正是烏魯克司令。"""
un_046060_0130#0,"""據說，是因為從頭開始形成人格太花時間<br>因此沒辦法，才在獲得本人同意的前提下<br>選擇了烏魯克總司令作為我們基礎人格的參考。"""
un_046060_0140#0,"""……可是！<br>可都明明這樣了！<br>怎麼還會有這麼大的差別啊！有這麼大欸！"""
un_046060_0150#0,"""既然都要參考了，那就別光是參考人格<br>而是把體格什麼的也全都加進來參考一下嘛！<br>真是的！"""
un_046060_0160#0,"""其實我還是能明白的啦。<br>畢竟若是要把胸部做大，那就會相應增加生產的預算<br>而且，太大的胸部還可能會妨礙到案頭工作……"""
un_046060_0170#0,"""我作為一名管理者來說，倒也是能接受的。<br>可我作為一個女孩子，卻還是難以接受！<br>這感覺就好像是尊嚴被踐踏了一樣！"""
un_046060_0180#0,"""每次我和烏魯克總司令開通訊會議的時候<br>心裡頭就會有點毛毛躁躁的……<br>……這對精神衛生方面，可是起到了很不好的影響！"""
un_046060_0190#0,"""就連各個戰艦上的其他雪拉型號們<br>也都非常同意我的意見！<br>我決定了，今天我就要跟夏歐提意見去！"""
un_046060_0200#0,"""夏歐！我有事要……"""
un_046060_0210#0,"""他甚至不肯聽我的報告！？<br>而且就連批評我的聯絡都發過來了！"""
un_046060_0220#0,"""嗚嗚嗚……對不起對不起。<br>我早就知道會這樣了啦，會發生這種事情<br>我姑且還是已經演算過的啦。"""
un_046060_0230#0,"""但即便是這樣，我卻也沒辦法忍住不說這件事<br>這正是我和人類別無二致的證明嘛！"""
un_046060_0240#0,"""您肯定能理解的對不對！<br>您肯定能理解我的感受對不對！<br><%me>！"""
