11_voice_NPC_5009_101#0,"""啊，是你啊。<br>你來的正好，這個給你。"""
Aki_favs_before_020#0,"""這東西對我來說沒有意義。<br>不介意的話就請你收下吧。"""
Aki_favs_after_010#0,"""因為我一直受你照顧啊。<br>就把這當作我的謝禮吧。"""
Aki_favs_after_020#0,"""以後也請你多指教囉。"""
Aki_favs_present_010#0,"""得到亞琪給予的『合成器』。"""
Aki_favs_present_020#0,"""得到亞琪給予的『精準射擊』。"""
Aki_favs_present_030#0,"""得到亞琪給予的『合成器』。"""
Aki_favs_present_040#0,"""得到亞琪給予的『合成器』。"""
Aki_favs_present_050#0,"""得到亞琪給予的『狂怒之舞』。"""
Aki_favs_present_060#0,"""得到亞琪給予的『合成器』。"""
Aki_favs_present_070#0,"""得到亞琪給予的『合成器』。"""
Aki_favs_present_080#0,"""得到亞琪給予的『交叉三重擊』。"""
Aki_favs_present_090#0,"""得到亞琪給予的『合成器』。"""
Aki_favs_present_100#0,"""得到亞琪給予的『合成器』。"""
Aki_favs_present_add_001#0,"""アキから『<%skit_text>』を受け取りました。"""
11_voice_NPC_5009_105#0,"""...告辭。<br>能不能不要跟我說話？<br>我正在思考。"""
11_voice_NPC_5009_102#0,"""你為何要找我說話？<br>如果你找不出答案，<br>那我也無法回答你。"""
11_voice_NPC_5009_103#0,"""我常常被嘲笑思考太過抽象。<br>他們應該是想說我的思考範圍太廣了。<br>對我而言，這是應該鄙棄的意見。"""
Aki_03_020#0,"""受到束縛的想法與思考，<br>根本一點意義都沒有。<br>人不思考是會死的喔。"""
11_voice_NPC_5009_100#0,"""有史以來最大的發現，<br>應該就是光子吧。<br>但是光子的發現過程充滿許多謎團。"""
Aki_04_020#0,"""這麼重要的一件大事，<br>竟然沒有留下任何記錄？<br>到底是誰發現的？又是如何發現的？真是個謎啊。"""
11_voice_NPC_5009_102#1,"""人的行動都有目的存在。<br>行動沒有目的，就不配稱為行動，<br>那樣的人不能算人，只能算是個物品。"""
11_voice_NPC_5009_100#1,"""無止境的求知慾是一切的原動力。<br>你也別忘了凡事懷疑與追求真實<br>的初衷。"""
11_voice_NPC_5009_100#2,"""真實與事實是很容易區分的。<br>無法理解並承認這一點的人，<br>下場會很慘。這是這個世界的法則。"""
11_voice_NPC_5009_101#1,"""你真有趣耶。<br>每次看到你都有不同的感覺。<br>你比任何事、任何人都還要有意思。"""
11_voice_NPC_5009_100#3,"""你有沒有思考過<br>生命誕生的瞬間？<br>我覺得那超神祕的。"""
Aki_09_020#0,"""沒有人知道<br>意識是如何產生的。<br>所以生命真的很深奧，也很珍貴。"""
11_voice_NPC_5009_100#4,"""我拘禁龍族的理由？<br>理由很簡單。牠們生命太強大了。<br>見到牠們的人都會為之著迷。"""
11_voice_NPC_5009_108#0,"""我取得ARKS的資格，<br>只是因為剛好適合而已。<br>我不打算為此犧牲生命。"""
11_voice_NPC_5009_100#5,"""世界上有許多為他人打拼的人，<br>但也有像我這種只為利己而做事的人。<br>ARKS就是這樣的組織喔。"""
