IncidentName#0,"""將迷路的娜烏拉護送到運輸車"""
TrialBeginMsg#0,"""找到娜烏拉大女兒後<br>護衛她前往運輸車！"""
TrialAbstract#0,"""找到娜烏拉大女兒後<br>護衛她前往運輸車！"""
ToastOnSuccess#0,"""$(0)開張了。"""
OnFind1#0,"""/ci4 3 ......嗚嗚。<br>我本來在看海......<br>曾幾何時卻只剩下我一個人。"""
OnFind2#0,"""/mn2 /toge /ci4 1 沒什麼事......<br>我沒有哭......<br>我沒有迷路......"""
OnFind3#0,"""/ci3 4 你是來找我的麼......？<br>那就快點帶我走吧。"""
OnStopEnemy#0,"""......嗚嗚。"""
OnFollow#0,"""/ci3 4 我想回家......<br>快點帶我回去啊。"""
OnStopPlayer#0,"""/mn13 ......等等我，給我站住。<br>你走太快了，等我。"""
OnRefollow#0,"""/ci4 5 好想趕快回去。<br>快點帶我回去。"""
OnDefeat#0,"""/mn6 /ci2 2 ......哼。"""
OnDead#0,"""/mn13 我受夠了......<br>不管怎樣我都要回去。"""
OnSuccess3#0,"""/ci2 2 ......要你管。<br>我沒有迷路，擺臭臉又怎麼樣。"""
OnSuccess6#0,"""/mn6 /ci1 1 t5 ......少囉嗦，快買蛋糕。"""
OnFailure3#0,"""/mn3 /ci5 2 ......要你管。<br>我心情糟透了，所以要回去了。"""
OnStart2#0,"""/mn2 /ci4 2 是、是這樣的，我姐姐<br>到處亂晃，不知道跑到哪裡<br>去了～......"""
OnStart3#0,"""/mn1 /ci4 1 這樣下去我們不能烤蛋糕<br>也不能開店，一家分崩離析了～。<br>求求您，幫我們找姐姐吧～。"""
OnSuccess1#0,"""/mn15 /toge /ci2 1 姐姐！"""
OnSuccess4#0,"""/mn11 /ci2 1 太好了，幸好姐姐沒事......<br>那個，真的非常<br>謝謝您～。"""
OnFailure1#0,"""/mn22 /ci4 2 /toge 姐姐！<br>姐姐突然跑回來了！"""
OnFailure4#0,"""/mn11 /ci4 3 總之沒事就好了～。"""
OnSecondBefore1#0,"""請、請您一定要找到姐姐～。"""
OnSecondBefore2#0,"""我有種感覺，姐姐現在應該在<br>那邊～。<br>這是作妹妹的直覺～。"""
OnStart1#0,"""/mn9 /ci2 1 /toge 啊！　到好的地方！<br>有件事想跟你商量！"""
OnStart4#0,"""/mn16 /toge /ci2 2 只要你能帶姐姐回來<br>我會給你很多特別服務的！"""
OnSuccess2#0,"""/mn12 /toge /ci3 1 真是的，不要害我擔心嘛！<br>姐姐從以前就是個路痴<br>態度又差，真是拿她一點辦法也沒有！"""
OnSuccess5#0,"""/mn15 /toge /ci2 1 好啦，既然姐姐都<br>回來了<br>那我要好好提供服務囉！"""
OnFailure2#0,"""/mn12 /ci3 2 姐姐妳真是的<br>不要害人家擔心嘛！"""
OnThirdBefore1#0,"""姐姐就拜託你了！"""
OnThirdBefore2#0,"""我覺得姐姐<br>好像在那邊！<br>不會錯！　大概！　應該吧！"""
