IncidentName#0,"""突破龍族據點防衛隊"""
TrialBeginMsg#0,"""擊敗所有防衛據點的龍族"""
TrialAbstract#0,"""擊敗所有防衛據點的龍族"""
NpcComOnBegin#0,"""那些好像是據點的防衛隊<br>但是受到了黑暗種的影響。<br>不得已了，請設法處理。"""
NpcComOnCloseSuccess#0,"""/face2 確認已擊敗敵方存在。<br>請繼續破壞龍磁晶<br>以開放防護壁。"""
NpcComOnOpenSuccess#0,"""/face2 確認已擊敗敵方存在。<br>請繼續前進。"""
NpcComOnOpenDoor#0,"""敵方據點的防護壁似乎開放了<br>但攻擊仍未停止。<br>......請設法處理。"""
NpcComOnDestroyCrystal#0,"""確認已破壞龍磁晶。"""
NpcComOnBegin#1,"""在敵方據點周邊發現大量龍族。<br>似乎受到了黑暗種的影響。<br>......來了，提高警覺。"""
NpcComOnCloseSuccess#1,"""確認已擊退敵意反應。<br>繼續攻略敵方據點。"""
NpcComOnOpenSuccess#1,"""確認已擊退敵意反應。<br>一邊戒備周圍情況，一邊往深處前進。"""
NpcComOnOpenDoor#1,"""敵方據點的防護壁開放了<br>......攻擊還是沒有停止麼。<br>不得已了，自己妥善處理吧。"""
NpcComOnDestroyCrystal#1,"""確認已破壞龍磁晶。"""
NpcComOnBegin#2,"""嗯，那支防衛隊的龍族<br>似乎遭到侵蝕了呢......<br>打倒牠們，繼續前進吧！"""
NpcComOnCloseSuccess#2,"""/face2 敵人的反應都消失了！<br>接著破壞龍磁晶<br>打開防護壁吧！"""
NpcComOnOpenSuccess#2,"""/face2 敵人的反應都消失了！<br>請繼續往前進！"""
NpcComOnOpenDoor#2,"""確認防護壁已經開放！<br>......不過，敵人還是沒停止攻擊呢。<br>看來也只能打倒牠們了。"""
NpcComOnDestroyCrystal#2,"""經過確認，<br>龍磁晶已成功破壞！"""
