st_054120_0003#0,"""愚蠢，怎麼會這樣！"""
st_054120_0006#0,"""咳，咳咳咳咳咳咳咳！！"""
st_054120_0010#0,"""我的力量消失了……！？<br>不對，這是被吞噬了麼？"""
st_054120_0020#0,"""呵呵，守護輝士喲……<br>這也是你的力量麼。<br>真是有着奇怪的力量呢。"""
st_054120_0030#0,"""但是，正是如此……！<br>正是如此，才有奪取的意義！"""
st_054120_0040#0,"""咳，呵……<br>被失敗的實驗素體打敗了麼……<br>但是，正是如此，才有意思……！"""
st_054120_0050#0,"""咳……咳……"""
st_054120_0060#0,"""哥德哈特！"""
st_054120_0070#0,"""這樣就結束了吧……？<br>竟然這麼簡單就結束了麼……？"""
st_054120_0080#0,"""皇帝混蛋……你這傢伙這樣就滿足了麼！<br>被更強大的人打敗……！<br>什麼意義都沒有……！"""
st_054120_0090#0,"""……回去吧，哥德哈特。<br>雖然皇帝死了，但是我們的戰鬥<br>還沒有結束。"""
st_054120_0100#0,"""……確實如此，還沒有結束。<br>我要在這個世界上留下存在的證明。"""
st_054120_0110#0,"""１．危險！"""
st_054120_0120#0,"""２．快躲開！"""
st_054120_0130#0,"""咳！　哥德哈特！"""
st_054120_0140#0,"""希娜！　沒事吧！？"""
st_054120_0150#0,"""……嗯，沒事。"""
st_054120_0155#0,"""身體比想的還要靈活。"""
st_054120_0160#0,"""什……麼……！"""
st_054120_0170#0,"""不小心奪取了這個身體<br>是失誤了呢……但是也不壞。<br>作爲暫時的容器來說已經足夠了。"""
st_054120_0180#0,"""１．難道是，修雷格！？"""
st_054120_0190#0,"""２．奪取了身體……！？"""
st_054120_0200#0,"""對的。<br>把自己注入他人的身體，奪取。<br>這才是魔人化的精髓啊。"""
st_054120_0210#0,"""魔人化是應用了讓魔力<br>在身體裏流動的技術所完成的。<br>是很神奇的事情哦。"""
st_054120_0220#0,"""一山不容二虎。<br>弱者的魂會消失，強者的魂會留下。<br>沒有再繼續說明的需要了吧。"""
st_054120_0230#0,"""希娜……消失了什麼的……<br>別開玩笑了……混蛋！"""
st_054120_0240#0,"""哈哈。<br>受了致命的一擊也能這樣動。<br>但是這個狀態的話，大概只能堅持幾分鐘。"""
st_054120_0250#0,"""可……惡！"""
st_054120_0260#0,"""喜歡着這個身體的吧？<br>最後也讓我盡興吧<br>那將是黃泉路上的餘興節目。"""
st_054120_0270#0,"""別開……玩笑了……！<br>希娜的身體……<br>不是你這混蛋的東西……！　咳！"""
st_054120_0280#0,"""已，已經不行了！<br>再繼續說話的話……！"""
st_054120_0290#0,"""別在乎生死了<br>不繼續戰鬥下去麼，守護輝士喲。<br>和快要壞掉的身體比起來，沒什麼區別啊。"""
st_054120_0300#0,"""怎麼了，沒辦法攻擊這個身體這個臉麼？<br>那麼就這樣去死就好了。<br>因爲，勝利者就是絕對的正義。"""
st_054120_0310#0,"""……什……麼……！<br>身體不聽使喚，不要聽他的廢話……！"""
st_054120_0320#0,"""希娜……？"""
st_054120_0330#0,"""哥德哈特……守護輝士……<br>我……不想這樣……"""
st_054120_0340#0,"""拜託……了……！<br>殺了……我<br>殺了……皇帝！"""
st_054120_0350#0,"""呵！　哈！<br>小姑娘，還殘留有意識麼！<br>但是，這樣就結束了喲！"""
st_054120_0360#0,"""什麼……！<br>不怕死麼，要幹什麼！"""
st_054120_0370#0,"""雖然不怕死……但是驕傲還是有的……！<br>希娜希望的事情……<br>怎麼可能就這樣不像話地睡下去……！"""
st_054120_0380#0,"""哥德哈特，要做什麼！？"""
st_054120_0390#0,"""……不甘心啊<br>我已經沒有可以<br>打倒皇帝的力量了。"""
st_054120_0400#0,"""但是，還是可以寄託力量的。<br>把我的靈魂，和你力量……！"""
st_054120_0410#0,"""別說那些話了……<br>比什麼都不做要好！<br>不要什麼都不做就死了啊！"""
st_054120_0420#0,"""……那麼！<br>沒辦法對希娜說抱歉了呢！"""
st_054120_0430#0,"""應該已經被【巨軀】吞噬了的我<br>這次又變成守護輝士的力量了麼。<br>……哈，反正肯定是因果什麼的吧。"""
st_054120_0440#0,"""從第一次在納貝流士相遇的時候開始<br>就覺得我們有相同的味道……<br>但是萬萬沒想到會和你同化。"""
st_054120_0450#0,"""如今也沒有興趣瞭解這個狀況。<br>反正肯定是阿卡西記錄的一時興起吧。<br>沒有思考的價值。"""
st_054120_0460#0,"""……拿着我的力量前進吧。<br>這個【巨軀】應該是必須的。"""
st_054120_0470#0,"""……然後，拯救給我看吧。<br>讓我見識下你那幼稚的做法吧。"""
st_054120_0480#0,"""哥、哥德哈特的光子在<br><%me>的身體裏……"""
st_054120_0490#0,"""不對，這是……<br>【巨軀】的反應！？"""
st_054120_0500#0,"""<%me>桑……<br>這是什麼情況？"""
st_054120_0510#0,"""但是，這個姿態……<br>完全就像是……【巨軀】！"""
st_054120_0520#0,"""哈、哈哈、哈哈哈哈哈！<br>得到了和我一樣的力量麼！<br>這樣作爲對手就很棒了啊！"""
st_054120_0530#0,"""守護輝士喲，果然最後變成你和我的單挑了啊！"""
st_054120_0540#0,"""１．我不是一個人"""
st_054120_0550#0,"""２．我們是三個人"""
st_054120_0560#0,"""我們的想法……就拜託了。"""
st_054120_0570#0,"""用全力打倒你！"""
