st_054170_0002#0,"""嗚！"""
st_054170_0004#0,"""太天真了！"""
st_054170_0006#0,"""現在！"""
st_054170_0010#0,"""結束了，紅色邪龍。<br>這裏不是你該存在的地方。<br>回到地底長眠吧。"""
st_054170_0020#0,"""哎呀，幹得漂亮，劍之巫女。<br>就算是紅色邪龍也不是你的對手啊。"""
st_054170_0030#0,"""......不過<br>僅限那是普通的時候。"""
st_054170_0040#0,"""那裏是追求力量和名聲的人<br>最後與城市一起崩落<br>然後和徒花一起長眠的地方。"""
st_054170_0050#0,"""那分懊悔，那分怨念.....那些靈魂！<br>如果有容器的話，會怎麼樣呢？"""
st_054170_0060#0,"""阿麗莎大人，危險！"""
st_054170_0070#0,"""......什！？"""
st_054170_0080#0,"""啊！"""
st_054170_0090#0,"""啊！<br>......劍的封印失效了？<br>我的力量被什麼給......？"""
st_054170_0100#0,"""劍之巫女......！<br>叛徒，你這......！"""
st_054170_0110#0,"""這，這個聲音是......！"""
st_054170_0120#0,"""魯茲！<br>靈魂寄宿在紅色邪龍身上了麼！"""
st_054170_0130#0,"""啊啊啊......哈莉艾特......<br>盧瑟......不能原諒，不能原諒......！"""
st_054170_0140#0,"""曾經向我揮刀的人，全部......！<br>用這個力量，消滅掉......！"""
st_054170_0150#0,"""守護輝士！<br>你回來了啊！"""
st_054170_0160#0,"""啊啊啊......守護輝士！<br>你這傢伙......你這傢伙也消滅掉......！"""
st_054170_0170#0,"""這是紅色邪龍......？<br>但是，這個感覺......"""
st_054170_0180#0,"""......注意到了麼，妖精。<br>那是魯茲的靈魂寄宿在邪龍身上。<br>當然，是因爲徒花的力量。"""
st_054170_0190#0,"""劍之巫女的力量把紅色邪龍的力量封印了<br>但是徒花的力量從根源上就不一樣。<br>......封印不了也是很正常的事。"""
st_054170_0200#0,"""曾經毀滅了世界的存在和<br>如今要毀滅世界的存在混合在一起......<br>真是過分啊。"""
st_054170_0210#0,"""但是，封印不了的話。<br>那個，要怎麼處理？"""
st_054170_0220#0,"""......只能打敗他了。<br>就算這個身體被撕成碎片，但是這個邪龍也要......"""
st_054170_0230#0,"""也是爲了拯救叔父大人的靈魂......！<br>嘔......！"""
st_054170_0240#0,"""１．不要逞強"""
st_054170_0250#0,"""２．交給我吧"""
st_054170_0260#0,"""......但是，不是我來封印的話<br>叔父大人就太可憐了。"""
st_054170_0270#0,"""......聽着，守護輝士，劍之巫女。"""
st_054170_0280#0,"""從他們手裏，把徒花的力量<br>剝離開來的方法......<br>有且只有一個。"""
st_054170_0290#0,"""哥哥，那是......"""
st_054170_0300#0,"""守護輝士，制止邪龍的動作。<br>劍之巫女做好封印的準備和援護準備。<br>做到的話，剩下的交給我吧。"""
st_054170_0310#0,"""......要準備做什麼？"""
st_054170_0320#0,"""只是做不是徒花專家<br>做不了的事，而已啦。"""
st_054170_0330#0,"""沒有問答的時間了。<br>動起來！"""
st_054170_0340#0,"""守護輝士，請下來！"""
st_054170_0350#0,"""劍啊......化身驅除災厄的光之鎖<br>束縛蠢動的惡意！ 冰多哇！（應該是咒語吧）"""
st_054170_0360#0,"""不行......！<br>要束縛和邪龍不一樣的力量的話......！"""
st_054170_0370#0,"""復原因爲召喚損傷的肉體。<br>還有，固定靈魂......"""
st_054170_0380#0,"""......真是班門弄斧。<br>那是我發現的......<br>我捨棄了的研究！"""
st_054170_0400#0,"""應該固定的場所是這邊！<br>不是紅色邪龍的裏面什麼的！"""
st_054170_0410#0,"""嘔，咳咳咳咳......！<br>不知道你是哪的誰，別開玩笑了。<br>能夠做好那個的......只有我！"""
st_054170_0420#0,"""那個......應該使用那個的人......！<br>是不存在的！"""
st_054170_0430#0,"""......哥哥！"""
st_054170_0440#0,"""......封印，成功了麼？"""
st_054170_0450#0,"""......沒有。<br>從劍來看，封印並不完全。<br>現在只是暫時的。"""
st_054170_0460#0,"""再過一段時間<br>紅色邪龍還會再會出現的吧。"""
st_054170_0470#0,"""那個時候，就只能消滅邪龍<br>如果沒有解放叔父的靈魂......<br>就太可憐了。"""
st_054170_0480#0,"""......咳！"""
st_054170_0490#0,"""哥哥！"""
st_054170_0500#0,"""......哈莉艾特麼。<br>沒關係的，我......沒事。"""
st_054170_0510#0,"""盧瑟，你做了什麼。"""
st_054170_0520#0,"""只是使用術式干擾了<br>使用肉體召喚的無限再生，停止了侵蝕而已。<br>現在只剩下邪龍自身的力量了。"""
st_054170_0530#0,"""因爲徒花的力量，增加了強化術式......<br>不小心行事的話，就會被反咬一口。"""
st_054170_0540#0,"""呼，隨隨便便就答應了......<br>不愧是守護輝士。"""
st_054170_0550#0,"""......我，累了。<br>稍微休息一下。"""
name01#0,"""紅色邪龍（魯茲）"""
name02#0,"""？？？"""
