st_052110_0010#0,"""所有的原因都是這個花……<br>徒花。"""
st_052110_0020#0,"""關於這個花的功能，<br>已經聽過了吧？"""
st_052110_0030#0,"""……用作魔法的觸媒的話<br>效果就會非常好。"""
st_052110_0040#0,"""的確。藉助這個花的話，<br>人身之前不能使用的<br>像奇蹟一樣的魔法也可以使用了。"""
st_052110_0050#0,"""任性地在世界上開得遍地都是<br>不結果，也不掉花瓣<br>像霧一樣消失的不可思議的花。"""
st_052110_0060#0,"""……也有説是從神那來的饋贈。<br>但是事實可是完全相反的。"""
st_052110_0070#0,"""連續使用的話精神會被侵蝕<br>漸漸地整個世界都發狂了，魔性的花。<br>形容一下的話，就是惡魔的契約。"""
st_052110_0080#0,"""侵蝕精神……？<br>那是怎麼回事？"""
st_052110_0090#0,"""就像説的那樣哦，妖精君。<br>使用徒花所提供的魔力的話<br>精神就會被漸漸侵蝕。"""
st_052110_0100#0,"""使用藉助徒花的魔法的話<br>侵蝕就會在不知不覺間發生……<br>最終就會喪失理智了。"""
st_052110_0110#0,"""只容許和自己一樣的事物。<br>只留有排除他者這樣的思想。"""
st_052110_0120#0,"""宰相魯茲也變得奇怪了……<br>殺了國王，奪取了國家。<br>也就是現在的樣子。"""
st_052110_0130#0,"""……簡直就像是黑暗因子的侵蝕。"""
st_052110_0140#0,"""如果徒花的起源是【深遠之暗】的話<br>也不是什麼不可思議的事情。"""
st_052110_0150#0,"""連續使用徒花就會侵蝕精神……<br>這要是事實的話，那就是大威脅了。"""
st_052110_0160#0,"""但是你是怎麼査明這些事的？"""
st_052110_0170#0,"""那是……"""
st_052110_0180#0,"""創造召喚魔神城的術式的人是我。<br>我對因此變得奇怪的人<br>一直都是見死不救。"""
st_052110_0190#0,"""不、不是這樣的！<br>哥哥只是爲了魔法的發展……！"""
st_052110_0200#0,"""不用解釋了，哈莉艾特。"""
st_052110_0210#0,"""爲了研究發展，犧牲了很多人。<br>那就是罪過，所以我<br>才被剝奪了王位繼承權。"""
st_052110_0220#0,"""然後現在，因爲我的研究成果<br>世界正在被侵蝕。<br>這也是事實。"""
st_052110_0230#0,"""１．爲什麼做這樣的事"""
st_052110_0240#0,"""２．所有的都是你的想法麼"""
st_052110_0250#0,"""爲了世界的發展……<br>就算這麼説你也無法相信我吧？"""
st_052110_0260#0,"""應該研究的對象就在那裏。<br>不認爲繼續研究的理由這樣就足夠了麼？"""
st_052110_0270#0,"""這樣的話，我就<br>不該在這樣的地方了吧？"""
st_052110_0280#0,"""眼裏只看到應該研究的對象<br>而不顧其他東西的後果就是這樣。"""
st_052110_0290#0,"""觀察人們被侵蝕的樣子的<br>這樣的我才是最不正常的。"""
st_052110_0300#0,"""……要是沒有哈莉艾特的話<br>恐怕我也會像魯茲一樣<br>走錯道路吧。"""
st_052110_0310#0,"""……的確，創造出魔神城的<br>是哥哥。"""
st_052110_0320#0,"""但是爲了擊破魔神城<br>而創造出召喚術「破界塔」的<br>也是盧瑟哥哥。"""
st_052110_0330#0,"""不過，因爲這個研究的關係<br>我的命早就已經被魯茲看上了吧。"""
st_052110_0340#0,"""從向其他國家泄露了魔神城的技術開始<br>謊言和謠言流傳，相當於顛覆國家的研究<br>其他還有什麼冤罪一起呢？"""
st_052110_0350#0,"""徒花被發現<br>是比我們出生還早的，<br>數十年前的事情了。"""
st_052110_0360#0,"""它導致的影響是很大的<br>但是還沒到改變世界的程度。"""
st_052110_0370#0,"""然而，盧瑟哥哥發現的<br>新的召喚術魔神城<br>卻導致了這個世界的戰爭。"""
st_052110_0380#0,"""各國在自己國家的國境線上召喚出魔神城<br>爲了互相不被攻撃<br>不過僅僅繼續了僵局而已。"""
st_052110_0390#0,"""攻不進去，戰火就不會擴大。<br>也不會有無謂的死傷。<br>就是這樣看起來和平的世界。"""
st_052110_0400#0,"""基於這個來看<br>也有人説魔神城技術的泄露<br>可能並不是沒用的。"""
st_052110_0410#0,"""但是，這只是表面的現象。<br>這距離破滅僅僅只差一步。"""
st_052110_0420#0,"""因爲徒花會使人發狂？"""
st_052110_0430#0,"""對。消滅徒花<br>散佈的因子。<br>我們必須破壞魔神城。"""
st_052110_0440#0,"""爲了那個目的，我創造了破界塔。<br>作爲可以破壞魔神城持有的魔神結界的<br>對抗召喚術。"""
st_052110_0450#0,"""不過，要操作那個當然需要很多的魔力。<br>然而徒花已經被拔掉了。"""
st_052110_0460#0,"""普通人根本無法操作。<br>就算是哈莉艾特和我都無法做到。"""
st_052110_0470#0,"""然而，你竟然使用了那個。<br>破壞了魔神結界<br>甚至連魔神城都打倒了。"""
st_052110_0475#0,"""甚至用自己的技術<br>解析了破界塔的召喚並且重現出來。<br>而且還是同時召喚幾個。"""
st_052110_0480#0,"""這難道不是救世主麼？"""
st_052110_0490#0,"""爲什麼會開花，爲什麼可以當觸媒，<br>爲什麼能提高召喚的性能。<br>……那種夢一樣的存在是沒有的。"""
st_052110_0500#0,"""那個花，越用越會使世界歪曲，<br>是使人發狂的的魔性的存在。<br>早一點兒也好，都得必須除掉它。"""
st_052110_0510#0,"""……盧瑟哥哥。"""
