st_065120_0091#0,"""瑪托依！"""
st_065120_0092#0,"""瑪托依桑！"""
st_065120_0093#0,"""啊、啊……這裡是……？"""
st_065120_0094#0,"""……這裡是、安姆杜斯基亞？"""
st_065120_0095#0,"""嗯、好像是夏歐把我們引導到了這裡。"""
st_065120_0096#0,"""啊、太好了。兩個人好像都沒事。"""
st_065120_0098#0,"""<%me>！"""
st_065120_0099#0,"""我回來了"""
st_065120_0100#0,"""謝謝"""
st_065120_0101#0,"""那麼、回去吧。"""
st_065120_0102#0,"""嗯嗯、大家都在等著呢。"""
st_065120_0103#0,"""嗯！"""
st_065120_0104#0,"""呐……<br><%me>。"""
st_065120_0105#0,"""剛才的是……夢、是夢嗎？"""
st_065120_0110#0,"""……不是夢"""
st_065120_0120#0,"""……不會忘記"""
st_065120_0130#0,"""……嗯。"""
st_065120_0140#0,"""走吧。"""
st_065120_0150#0,"""邁向我們的、未來。"""
