st_058025_0010#0,""" ……徒花在那個世界出現<br>是在幾十年前吧。"""
st_058025_0020#0,"""也就是說、在那之前<br>【深遠之暗】就<br>進入了吧。"""
st_058025_0030#0,""" 【深遠之暗】和<%me><br>應該是幾乎同時進入歐米茄的<br>爲什麼會有那樣的偏差呢？"""
st_058025_0040#0,"""這個嘛。<br>機會難得我來說明一下吧。"""
st_058025_0050#0,""" ……前面可能也說過<br>本来、阿卡西記錄中<br>的時間就是个循環。"""
st_058025_0060#0,"""配合着記錄的整理<br>各種各樣的世界<br>以驚人的速度旋轉着。"""
st_058025_0070#0,"""在那裡、【深遠之暗】<br>不純之物進入了、在那一瞬間<br><%me>進入了。"""
st_058025_0080#0,"""<%me>進入的瞬間<br>我注意到了<br>時間變得同步起來。"""
st_058025_0090#0,""" 時間……同步……？"""
st_058025_0100#0,"""啊、嗯嗯……<br>總之、如果你覺得<br>做得很好就好了。"""
st_058025_0110#0,"""只是、那一瞬間。<br>一點點的差距<br>在對面的世界卻是數十年。"""
st_058025_0120#0,"""像這樣眼花繚亂的時間<br>持續旋轉的地方、歐米茄。<br>不、是阿卡西記錄裏面。"""
st_058025_0130#0,"""時間輪回、這種說法很奇怪吧。<br>記錄一直在循環、對吧。"""
st_058025_0140#0,"""那麼、如果那時阿爾瑪沒有<br>停止時間的話……？"""
st_058025_0150#0,"""嗯、搞不好、一瞬間<br>就形成了一個黑洞<br>把全部都吞沒了。"""
st_058025_0160#0,"""沒想到我也<br>出乎意料地<br>做得很精彩呢。"""
name01#0,"""？？？"""
name02#0,"""？？？"""
